V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2030.623291015625,2028.7334,2029.9841,2031.599,2030.1244,2030.1217,2030.8765,2031.41,2032.1166,2033.6974,2033.7424,2034.268,2035.0111,2034.7744
2972.35693359375,2971.9705,2974.0654,2975.525,2975.394,2974.762,2974.0232,2973.9,2973.2275,2976.3064,2973.629,2974.932,2973.3599,2973.9045
1124.8756103515625,1122.184,1128.6606,1127.0122,1125.9744,1125.725,1128.6931,1127.0148,1125.7632,1128.0251,1127.4932,1126.3198,1124.8508,1123.3578
1216.790283203125,1197.2737,1238.0892,1229.4211,1224.0735,1214.6107,1226.932,1217.4735,1221.8104,1223.8707,1224.131,1218.6559,1221.3936,1231.4861
5870.4091796875,5866.9644,5876.3135,5878.5366,5875.161,5876.6494,5877.252,5882.3726,5879.3945,5889.5825,5882.5005,5885.521,5886.6665,5885.0083
3104.835205078125,3093.789,3121.8816,3128.302,3120.8323,3105.5889,3113.8997,3118.2354,3103.5938,3119.5413,3120.0447,3110.2458,3116.5693,3112.803
5258.9638671875,5132.1675,5320.16,5376.381,5313.3926,5283.6855,5223.756,5392.259,5289.147,5382.858,5330.394,5314.4316,5326.4346,5361.6016
1730.5966796875,1733.0604,1733.5208,1734.2885,1731.5992,1733.0275,1732.8,1732.9636,1732.7015,1734.4008,1733.3953,1733.4058,1731.6755,1731.9757
1583.5435791015625,1585.7241,1586.1295,1586.8009,1584.4468,1585.6594,1585.475,1585.5642,1585.3398,1586.7998,1585.9878,1585.955,1584.381,1584.6804
2619.2421875,2622.8542,2623.9792,2624.9019,2619.9783,2624.0396,2624.0828,2623.8003,2625.3037,2626.7925,2622.4807,2623.7053,2624.5642,2624.9155
2442.900634765625,2444.1467,2445.2737,2441.4194,2444.5972,2443.165,2444.8572,2446.7046,2443.7197,2444.7268,2444.4685,2443.8284,2443.4531,2440.6543
3668.3681640625,3669.1824,3669.6042,3673.4885,3670.5813,3680.323,3673.9556,3680.4954,3678.5803,3687.8005,3684.6294,3684.4604,3689.6262,3689.3948
7251.7841796875,7255.759,7247.7417,7256.87,7235.7075,7265.0825,7257.331,7266.5737,7269.0,7280.1885,7274.5186,7276.8643,7304.4717,7290.6167
5674.07421875,5674.8643,5690.393,5701.1323,5680.46,5682.0044,5682.651,5687.03,5680.8164,5695.452,5683.683,5686.8413,5673.755,5677.159
7984.7646484375,7918.214,8023.61,8051.9775,8059.6533,8031.8667,8032.51,8140.6587,8135.0044,8236.406,8174.861,8145.634,8253.198,8201.736
3070.203125,3067.8667,3069.9883,3073.0642,3069.7273,3065.974,3069.6953,3071.4016,3068.4717,3071.1667,3067.4585,3067.494,3068.736,3064.0857
4045.548828125,4035.2097,4038.6084,4046.9175,4039.715,4045.212,4044.5308,4048.0598,4047.7568,4052.8071,4056.504,4056.5127,4067.9963,4061.7422
9508.076171875,9587.14,9489.483,9466.551,9479.284,9487.323,9486.9,9478.011,9479.6455,9485.901,9481.773,9489.424,9505.022,9496.501
2693.89111328125,2671.81,2687.3872,2702.9795,2686.3953,2681.3855,2692.4092,2684.0095,2697.15,2697.3975,2703.0842,2711.1548,2719.3264,2707.8413
10854.591796875,10845.057,10849.374,10852.929,10852.465,10857.843,10850.755,10854.986,10847.265,10855.146,10849.432,10852.993,10854.758,10847.991
2682.37158203125,2660.474,2676.3735,2691.3323,2675.2615,2670.3062,2681.2808,2673.0989,2685.9004,2686.519,2691.844,2699.8013,2707.9424,2696.4878
2860.781494140625,2860.325,2874.322,2875.8303,2865.6443,2865.3965,2870.501,2868.478,2868.958,2874.0298,2871.1914,2868.3225,2864.5693,2865.231
1929.41064453125,1924.5173,1932.0968,1930.4556,1931.0557,1927.7991,1930.2885,1929.4158,1931.179,1929.9921,1932.0071,1930.1118,1930.5815,1929.0887
2552.68505859375,2552.391,2565.0005,2565.782,2556.861,2556.4907,2561.3657,2559.2153,2559.9863,2564.0007,2561.4697,2558.8281,2555.4858,2556.068
1597.1488037109375,1593.7706,1599.586,1597.9253,1598.1349,1595.982,1598.1917,1597.1644,1598.4478,1597.6455,1599.0355,1597.4205,1597.6187,1596.6223
2372.78271484375,2373.2239,2384.3726,2384.924,2376.4475,2377.0347,2381.3235,2379.3887,2379.553,2384.3127,2381.106,2378.5198,2375.9236,2376.6462
1721.287109375,1717.2198,1723.8496,1722.2518,1722.6442,1719.5457,1722.1769,1721.0503,1722.8256,1721.1376,1723.0808,1721.5386,1721.6979,1720.4464
429.1849060058594,426.32916,429.29428,428.3322,429.8406,429.91302,429.20956,429.52332,428.69577,429.2102,428.1723,427.09302,427.8692,429.72
6408.4033203125,6407.3174,6420.787,6433.286,6418.308,6411.0195,6413.0986,6417.4624,6418.52,6424.5225,6422.077,6424.277,6416.8384,6425.028
616.8026123046875,612.6982,616.95953,615.5764,617.74524,617.84894,616.83826,617.289,616.0999,616.8387,615.34753,613.7957,614.91205,617.57104
2136.251220703125,2117.241,2111.5422,2129.6245,2125.7583,2126.607,2124.3428,2127.7595,2124.4707,2127.3164,2140.449,2136.5398,2149.0774,2148.3445
