V1,V2,V3,V4,V5,V6,V7,V8
6873.08447265625,6847.2227,6853.981,6849.8877,6891.834,6870.0967,6895.738,6886.3784
7075.5380859375,7071.2554,7098.206,7094.002,7101.4663,7102.4604,7148.618,7131.701
7196.5126953125,7181.436,7196.953,7183.184,7205.8223,7200.7603,7229.659,7230.4536
7678.02734375,7682.1113,7699.73,7673.7275,7694.8086,7703.8613,7737.6753,7727.0063
987.6378784179688,905.02576,1203.5062,1421.7048,1012.75006,939.3032,1225.5023,1467.9255
9836.3134765625,9830.309,9913.007,9979.32,10017.292,10005.32,10089.536,10134.789
3337.171630859375,3331.6526,3321.4834,3341.9653,3344.9119,3338.4646,3330.7766,3352.7153
2606.076416015625,2593.2036,2620.3562,2643.733,2644.2224,2632.3994,2653.0608,2672.8064
2489.111572265625,2484.053,2491.9492,2503.5815,2506.5645,2503.4587,2509.393,2516.626
2543.396728515625,2540.171,2558.6663,2554.417,2547.458,2545.4001,2561.8743,2553.5015
1156.206298828125,1151.3358,1150.8419,1150.7246,1152.7051,1148.3317,1148.5986,1149.2115
3262.628173828125,2947.3442,3324.855,3410.8916,3290.4849,2991.7434,3348.896,3460.2024
1749.7200927734375,1754.97,1764.0375,1771.5797,1788.5782,1794.436,1802.8319,1805.9467
12408.978515625,12435.11,12517.297,12603.388,12664.66,12704.27,12748.604,12746.823
1244.5096435546875,1212.1807,1314.2047,1353.7158,1270.5458,1225.7104,1330.7516,1381.5613
2042.78369140625,2026.1138,2080.413,2089.6484,2100.3008,2076.498,2125.27,2130.9744
2438.95361328125,2455.3735,2435.9478,2474.811,2471.0195,2486.9119,2466.0425,2497.0132
4718.751953125,4581.2964,4818.058,4769.6772,4747.9297,4600.5625,4834.9375,4793.0864
5805.3056640625,5824.1187,5885.32,5886.921,5947.2295,5967.533,6013.544,6008.216
6294.4716796875,6319.611,6338.671,6404.6016,6404.5874,6428.712,6447.3545,6499.8896
9776.8115234375,9790.052,9856.828,9936.258,9944.673,9957.328,10019.078,10087.22
5106.3935546875,5100.0103,5161.045,5210.144,5145.812,5147.8354,5200.309,5238.391
5985.72314453125,5892.4053,6047.0347,6114.622,6030.813,5946.743,6090.141,6160.291
2319.25146484375,2316.0623,2339.196,2332.629,2319.6985,2319.7256,2342.6074,2337.9045
1368.686279296875,1368.8224,1374.3313,1374.8369,1369.003,1370.7765,1376.1144,1379.4287
7251.51416015625,6594.804,7277.377,8888.435,7183.6562,6537.741,7235.639,8852.775
9202.869140625,9176.291,9227.504,9241.249,9221.468,9208.983,9232.513,9295.843
5007.23193359375,5000.9927,4961.8735,4933.4634,5027.8096,5053.4487,5001.565,4973.21
1884.886474609375,1874.9354,1872.6937,1867.9874,1874.5356,1866.7133,1866.248,1863.9441
3107.79541015625,3120.104,3063.4888,3077.2898,3104.7224,3118.5967,3058.8718,3074.7573
2479.37841796875,2500.0442,2479.1616,2491.0762,2476.3616,2499.7173,2487.7024,2495.1973
4698.9453125,4618.238,4632.164,4640.7363,4703.0796,4639.571,4642.1333,4653.3057
8289.7939453125,8344.32,8321.5,8303.743,8356.669,8415.67,8371.854,8364.289
7092.72265625,7250.6997,7177.235,7159.765,7106.622,7279.045,7206.532,7190.898
10150.3671875,10232.955,10223.073,10145.494,10207.554,10301.46,10266.427,10197.447
9038.228515625,8993.336,9001.08,9001.5625,9064.194,9032.555,9029.469,9048.573
4382.18310546875,4350.853,4354.199,4358.611,4354.5273,4335.7495,4353.3545,4350.633
6360.78955078125,6271.843,6326.3228,6384.878,6387.969,6325.928,6366.971,6440.9443
5447.7568359375,5593.479,6148.832,6007.3423,5500.987,5669.6885,6218.8135,6043.974
5224.568359375,5251.0156,5240.92,5246.5854,5266.984,5293.782,5275.8276,5281.1426
1904.978759765625,1907.4677,1910.385,1908.6365,1915.3208,1918.3367,1921.2892,1919.0519
2111.292236328125,2112.991,2118.74,2117.1724,2128.5505,2131.1035,2133.5728,2132.2112
5408.74609375,5448.661,5423.509,5441.0244,5457.1978,5502.8613,5464.504,5482.924
1282.114013671875,1289.5874,1282.5818,1282.221,1292.7666,1301.2411,1292.8656,1293.5724
1918.5142822265625,1916.4194,1921.5046,1918.7007,1925.1992,1924.4406,1928.888,1926.4213
3371.569580078125,3373.151,3377.4048,3351.276,3370.1362,3361.2095,3365.3184,3340.8162
9608.2138671875,9700.49,9638.169,9670.246,9625.161,9721.285,9648.331,9699.06
1393.0924072265625,1377.8676,1381.1262,1390.5773,1385.2587,1375.708,1381.8125,1387.9124
8823.2109375,8976.985,8905.041,8879.001,8841.146,9036.397,8974.068,8939.401
9123.1220703125,9294.356,9148.367,9223.298,9115.631,9327.262,9196.991,9262.854
1501.740478515625,1532.2584,1520.3531,1455.663,1503.3933,1549.6858,1538.4933,1467.5215
5785.02978515625,5784.9272,5781.9946,5772.6504,5782.7993,5789.147,5790.8354,5791.647
2633.986083984375,2621.1443,2645.9119,2606.6477,2640.6782,2630.0994,2649.447,2617.3252
1655.730712890625,1652.49,1657.1254,1659.2794,1663.4539,1658.5193,1663.4641,1664.6757
6872.02490234375,6889.9087,6854.392,6883.261,6883.099,6907.3745,6874.775,6899.9653
2947.7392578125,2944.164,2987.421,2929.8113,2949.1687,2943.0652,2983.3513,2933.4426
1471.1175537109375,1476.8578,1474.01,1469.4537,1480.5496,1487.8159,1481.7845,1479.6527
7298.1865234375,7302.228,7310.8296,7272.5938,7290.9907,7294.071,7311.6963,7279.121
9436.8359375,9529.576,9537.984,9433.43,9450.47,9525.782,9525.104,9437.416
1394.85107421875,1402.6863,1412.6353,1409.192,1409.75,1414.5323,1425.8452,1416.183
2807.642578125,2834.44,2894.0518,2940.597,2966.868,2993.3599,3048.5144,3068.4556
2111.461669921875,2128.3381,2140.8237,2150.02,2145.226,2166.731,2179.9553,2181.5972
2930.505126953125,2993.2705,3063.7922,3154.3213,3236.4028,3316.4282,3383.0298,3460.458
3209.76708984375,3220.2524,3307.6882,3377.4043,3427.2954,3438.8726,3524.3596,3548.151
4716.52197265625,4753.6426,4831.507,4872.7026,4901.6265,4943.1772,5013.54,5041.493
6308.28369140625,6438.5596,6541.7607,6673.364,6762.285,6899.028,6991.549,7069.279
10819.18359375,10994.12,11159.515,11309.889,11520.462,11759.543,11921.998,12075.815
3239.78857421875,3270.135,3301.1208,3274.7812,3294.6343,3316.6812,3344.198,3310.5188
1094.4024658203125,1097.4384,1093.8458,1103.7941,1109.0875,1115.1929,1113.4681,1119.894
10698.44921875,10731.782,10764.995,10791.786,10816.586,10849.764,10877.061,10900.521
4911.1337890625,4921.4414,4844.398,4919.2026,4942.441,4974.645,4941.658,4996.7246
3907.84912109375,3870.2107,3873.2104,3904.2507,3929.1572,3907.0955,3900.8743,3927.6763
5248.02783203125,5285.7017,5335.2915,5397.8994,5455.562,5499.4883,5549.652,5594.526
3046.83642578125,3070.3076,3106.1824,3146.475,3169.212,3195.434,3230.9949,3260.2898
1609.779541015625,1615.3354,1626.4968,1636.9167,1644.4012,1650.2502,1661.4241,1668.4746
13566.4521484375,13606.901,13709.414,13812.47,13875.388,13921.475,14025.504,14090.6875
17787.916015625,17913.209,18115.059,18338.852,18494.178,18631.785,18828.271,18994.883
17344.791015625,17467.176,17667.234,17885.729,18037.88,18171.727,18367.129,18530.1
1684.466796875,1694.31,1719.5072,1725.9823,1736.6694,1745.0543,1767.5707,1762.7921
6808.98828125,6810.268,6810.4116,6806.977,6810.859,6810.602,6809.23,6807.3867
4523.03662109375,4521.8667,4524.582,4521.996,4525.395,4523.576,4525.4355,4524.7495
2203.8984375,2197.868,2196.4983,2191.1265,2192.9116,2187.222,2184.202,2185.5874
3466.35205078125,3476.5083,3488.0295,3480.3247,3500.9666,3508.2375,3533.5076,3541.3657
12337.578125,12331.119,12344.271,12326.222,12337.81,12322.12,12342.743,12341.58
33430.95703125,33716.863,34087.234,33832.168,34296.67,34596.59,34771.92,34619.31
1109.2625732421875,1109.5837,1110.7668,1111.6173,1109.5425,1108.8608,1109.5479,1112.193
2377.508544921875,2389.7156,2399.486,2414.0999,2423.8901,2434.4644,2442.312,2453.6465
3859.98876953125,3849.9468,3854.0908,3873.4783,3853.3718,3838.1003,3841.015,3866.707
8456.1630859375,8434.2705,8445.046,8437.243,8442.66,8408.363,8417.565,8424.573
8621.2333984375,8309.004,8321.747,8468.084,8649.632,8295.3,8377.097,8441.025
1082.838623046875,1082.048,1082.4908,1080.3876,1083.0715,1081.5084,1084.6891,1083.9377
7227.40185546875,7227.804,7232.2607,7229.949,7232.726,7225.622,7225.196,7228.739
1575.0023193359375,1584.5936,1592.3064,1603.2076,1610.2284,1620.2498,1625.8622,1634.1777
3989.892333984375,3974.818,3978.3477,3983.3247,3988.3408,3976.2986,3983.9434,3982.2341
5932.59716796875,5913.0903,5910.7617,5903.2544,5894.924,5868.845,5863.1636,5853.986
9013.6171875,8997.942,9026.496,9004.82,9020.945,9004.467,8999.136,8973.11
21191.302734375,21279.357,21352.004,21444.2,21520.836,21604.201,21651.395,21736.775
2450.2119140625,2442.3481,2437.6284,2431.0137,2439.2124,2428.6685,2435.7822,2430.2683
1540.21533203125,1521.5305,1509.1908,1504.9376,1535.9678,1516.3855,1544.3605,1557.9349
6926.77587890625,6901.8247,6896.343,6870.105,6884.7676,6857.028,6852.7324,6847.812
4261.341796875,4260.3745,4264.157,4255.3276,4257.355,4256.132,4261.788,4250.691
2287.099609375,2284.5366,2290.9365,2289.9768,2294.6577,2288.6194,2307.8303,2304.3677
2296.668701171875,2294.856,2295.095,2293.8474,2294.8306,2292.3462,2292.6484,2292.9844
6099.2265625,6085.817,6095.866,6091.762,6089.982,6069.714,6071.864,6088.0864
1823.573974609375,1826.5059,1831.5022,1835.6945,1840.8481,1843.0514,1846.3892,1848.3563
3669.494873046875,3690.1592,3711.0784,3737.062,3764.413,3786.9924,3804.3638,3822.3652
6251.14404296875,6247.393,6264.2397,6260.5903,6249.0693,6232.2847,6249.381,6243.124
2316.0458984375,2310.1401,2317.452,2319.9856,2316.2356,2310.3835,2318.0632,2320.5002
3096.8603515625,3098.8828,3100.8345,3104.171,3102.7976,3102.0625,3103.089,3110.5916
2329.934814453125,2327.7039,2327.6575,2327.7063,2329.9001,2327.5059,2328.3296,2328.397
5705.7431640625,5700.791,5705.0527,5706.848,5702.7427,5694.5723,5703.0137,5713.512
3913.96533203125,3914.234,3921.7305,3920.3118,3923.1526,3924.9734,3934.2515,3931.7002
3381.741455078125,3389.7083,3388.9685,3390.4084,3387.4897,3394.707,3393.2134,3395.8735
3266.25439453125,3269.5798,3273.8533,3275.155,3270.7317,3271.0447,3280.7793,3280.5728
1418.42919921875,1436.4325,1430.1661,1442.9749,1434.0392,1449.117,1442.8124,1451.1985
2443.364501953125,2438.8936,2442.1077,2440.968,2448.3315,2440.814,2460.9973,2459.8557
1550.123046875,1426.7117,1537.7604,1628.5781,1545.5112,1440.496,1569.1201,1658.1716
4079.16455078125,4092.071,4102.851,4130.126,4142.5205,4159.8223,4168.06,4190.386
3245.841064453125,3254.6787,3266.9702,3281.9805,3292.2354,3300.1528,3313.1128,3320.3633
1466.717041015625,1491.7004,1523.1077,1552.4121,1571.1478,1601.3414,1630.731,1649.7605
