V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
36156.21875,36021.81,36066.324,35896.76,36198.848,36097.7,36028.44,36248.434,36233.664,36768.81,36501.81,36146.21,36260.453
3567.60107421875,3566.27,3542.501,3529.0327,3560.0996,3557.158,3552.3066,3558.408,3572.2673,3656.0383,3621.0154,3562.867,3568.3376
9646.5947265625,9742.842,9739.032,9584.165,9588.248,9655.866,9738.819,9681.443,9565.559,9660.315,9676.152,9677.86,9580.351
2170.060302734375,2220.9841,2199.9666,2269.663,2285.8452,2283.6982,2233.5693,2240.5393,2254.6008,2198.0586,2323.5876,2268.3015,2311.5334
1449.554931640625,1552.8499,1515.3878,1582.9176,1519.4362,1564.4783,1493.6895,1412.5205,1417.041,1417.5067,1563.082,1546.2721,1307.7932
515.4736328125,513.7034,510.2515,511.24298,506.2859,489.49588,498.4782,504.3915,534.1714,568.84644,532.1033,480.17188,473.76794
3050.921875,3424.5347,3476.7346,3267.6738,3293.3337,3325.3306,3443.6082,3457.4177,3106.868,3182.8298,3533.2104,3641.6152,3187.5137
3002.61572265625,3091.0942,2667.192,2765.962,2957.481,3000.775,2732.9392,2520.7937,2771.4065,3046.6514,2653.9438,2651.6282,2375.01
7549.640625,7437.7563,7129.409,7181.824,7444.4014,7209.3525,6934.3076,6925.9507,7001.6367,7116.6025,6707.9263,6865.6567,6694.6323
5147.59228515625,5146.915,5143.37,5116.0015,5167.443,5270.1807,5284.592,5198.6104,5158.8374,5218.983,5098.698,5094.2407,5162.419
347.3129577636719,339.72012,324.11877,333.16364,335.27182,322.62018,309.45407,314.70126,330.53555,334.69113,335.5499,331.58392,322.09705
1048.415771484375,1051.5427,1049.1686,1049.0897,1070.6819,1067.6772,1063.5693,1061.0032,1059.1974,1067.9167,1059.8518,1050.4552,1061.8829
2365.018310546875,2372.8164,2384.387,2393.0037,2332.8647,2334.5637,2328.3152,2328.8137,2274.08,2245.1067,2311.9712,2343.126,2331.3723
2377.420166015625,2392.5833,2410.0356,2413.9912,2353.1882,2385.9067,2375.6763,2372.6318,2308.4246,2287.1106,2341.3079,2377.8926,2337.652
4744.568359375,4692.047,5000.125,5097.6143,4608.664,4788.959,4712.604,4758.399,4254.532,4164.007,4361.0024,4640.6816,4549.4287
4744.568359375,4692.047,5000.125,5097.6143,4608.664,4788.959,4712.604,4758.399,4254.532,4164.007,4361.0024,4640.6816,4549.4287
12056.595703125,12073.614,12083.656,12048.596,12093.739,12174.346,12201.053,12143.945,12109.359,12156.438,12113.3955,12078.222,12112.45
4343.1416015625,4314.8994,4324.4087,4347.627,4356.628,4279.2285,4264.0625,4308.7314,4344.344,4300.57,4352.9136,4364.448,4318.129
2705.79736328125,2694.6877,2757.1218,2635.514,2676.2102,2966.4321,2781.5542,2799.122,2625.107,2639.0872,2960.834,3292.6592,2951.9329
4159.6552734375,4267.357,4157.505,4117.138,4263.038,4405.2324,4373.6514,4361.456,4209.5405,4261.806,4559.047,4641.314,4215.6953
1939.9127197265625,2046.4417,2087.003,2123.8896,2029.7219,1994.1506,2038.9465,2055.5867,1970.2397,1818.008,2151.5454,2285.0374,1958.3904
3711.082275390625,3924.5002,4000.7107,4037.9617,3927.6577,3935.061,3904.8613,3900.648,4006.5625,3945.0737,4071.1687,4082.3823,3720.0957
750.1756591796875,775.2814,787.9768,774.9305,780.1342,793.4299,792.64453,801.7948,762.7824,754.817,782.2782,800.62616,768.7787
6950.318359375,6838.919,7175.437,7019.5527,6809.825,7430.5635,7174.3135,7215.034,6899.615,6486.8374,7116.303,8127.7285,7271.7417
1238.396484375,1249.3318,1245.4806,1223.1115,1189.365,1191.3135,1179.4731,1154.5969,1085.2908,1081.1263,1157.0416,1178.6263,1127.9812
2829.11669921875,2894.1492,2905.1372,2829.1904,2852.93,2902.7207,2907.5051,2798.2288,2813.9482,2731.1748,2998.0847,3061.0188,2747.9016
2080.08349609375,1951.5249,1898.6664,1916.0859,1919.5089,1935.0939,1854.6461,1897.418,1828.7136,1931.7457,2159.5642,2037.7004,1852.4836
4400.5048828125,4674.2964,5006.9707,4929.8926,4591.3228,4840.849,4352.595,5350.324,4054.0498,4288.926,5042.8086,5606.3384,3967.5364
704.0128173828125,696.93744,680.86945,723.1805,701.8322,711.45917,694.1854,720.39343,729.44714,705.1651,713.72845,736.38934,711.2972
3636.999755859375,3873.8486,3790.768,3825.2515,3801.4297,3803.303,3798.728,3730.212,3942.5635,3809.505,3869.5603,3879.1177,3554.9219
935.3753662109375,923.22876,918.6503,960.13403,946.1105,926.22644,820.9375,836.50867,869.8075,809.9463,866.49756,931.30743,871.55524
4352.5673828125,4359.8965,4457.1973,4189.88,4087.3943,4265.8906,4296.1294,4223.9585,4062.2644,4132.518,4267.4277,4538.575,4092.8997
1544.3226318359375,1506.0533,1441.187,1420.57,1463.7574,1509.7638,1424.2899,1439.2748,1437.7596,1518.741,1395.6188,1351.6711,1349.95
1323.824951171875,1284.5142,1295.6453,1312.8236,1327.571,1286.9396,1216.3712,1217.4075,1227.0927,1263.9852,1209.4403,1201.0078,1219.1974
1147.1690673828125,1161.723,1113.1345,1079.976,1182.2764,1188.273,1101.1866,1068.8218,1055.6459,1139.5759,1120.238,1108.8481,1070.4147
16548.591796875,14531.768,15258.518,15696.011,18271.955,16499.691,14959.624,16015.463,17637.875,18074.225,16502.172,14755.531,16490.727
2909.17333984375,2911.829,2900.4805,2907.7754,2910.0608,2910.6306,2897.3381,2890.0398,2896.655,2889.664,2901.2568,2889.6326,2877.899
3084.387451171875,3101.0225,3090.204,3105.2068,3099.2205,3111.9155,3101.4846,3096.1328,3090.8623,3085.017,3112.0366,3107.2273,3080.677
5853.1474609375,5816.9336,5836.837,5799.34,5811.257,5814.9907,5781.305,5773.6743,5729.654,5744.566,5702.1387,5690.8516,5714.0063
5848.31005859375,5812.8584,5833.514,5796.236,5807.8765,5810.807,5777.743,5769.565,5725.8,5740.037,5698.3257,5687.76,5711.562
6181.71728515625,6180.638,6195.0137,6188.434,6175.7817,6196.345,6203.758,6204.6074,6205.9585,6191.0757,6166.5337,6210.6772,6201.912
6194.5654296875,6191.0576,6204.7485,6197.5156,6185.071,6207.2046,6212.7812,6213.32,6216.2236,6203.716,6175.6006,6218.9033,6210.5596
6188.32666015625,6185.96,6199.9336,6193.093,6180.4863,6201.864,6208.296,6209.049,6211.1255,6197.4414,6171.027,6214.7437,6206.3403
5843.54150390625,5808.8936,5830.292,5793.28,5804.657,5806.7905,5774.3506,5765.591,5722.1777,5735.705,5694.7207,5684.884,5709.3706
2918.963134765625,2935.044,2913.9985,2931.931,2932.4128,2924.07,2914.5579,2919.0195,2923.4907,2914.754,2938.6038,2909.992,2915.9
3274.19091796875,3278.048,3293.728,3296.2334,3316.012,3297.481,3310.669,3300.1045,3286.5374,3282.5872,3288.8208,3266.7275,3264.104
2917.681640625,2933.6108,2912.258,2930.3364,2930.917,2922.7207,2913.3882,2917.679,2922.0535,2913.468,2937.3208,2908.5024,2914.4785
3035.9150390625,3001.788,3023.2295,3005.2053,2984.8157,3007.4392,2958.8535,2963.2065,2938.4048,2981.1106,2934.3945,2887.7124,2924.393
3238.0859375,3252.663,3226.0635,3240.8567,3251.6265,3223.5325,3224.098,3230.4092,3233.7344,3228.0867,3256.3337,3219.0027,3229.376
3239.687255859375,3254.2551,3228.0786,3242.6516,3253.2742,3225.1367,3225.4287,3231.9583,3235.3547,3229.653,3257.7192,3220.7556,3230.9844
6606.57666015625,6590.1577,6623.216,6618.047,6602.444,6619.5503,6634.0127,6652.4307,6628.2065,6624.794,6635.3003,6629.786,6584.831
7075.27197265625,7099.7744,7100.264,7110.2583,7120.3,7140.314,7119.3276,7126.7686,7094.4316,7096.102,7162.9385,7146.2427,7076.0493
1930.37158203125,1853.3931,1878.8248,1848.5154,1910.7197,1888.7582,1876.4065,1813.0552,1795.224,1808.7041,1800.0972,1690.2959,1784.0992
2493.8671875,2495.0896,2503.1943,2507.3938,2498.196,2499.1208,2504.9236,2505.709,2497.9949,2489.0708,2511.6707,2518.4097,2503.331
4913.482421875,4944.417,4983.1523,4995.218,5025.0977,5091.735,5016.224,4980.4043,4954.954,4954.738,4916.8184,4923.046,4975.326
3114.989013671875,2958.337,2994.3071,2877.585,2879.07,2876.3489,2783.8438,2792.0327,2726.0977,2764.324,2532.4067,2579.1475,2684.6533
2201.38671875,2166.2422,2141.977,2095.451,2098.1504,2140.9412,2119.0571,2088.4443,2095.2449,2158.0095,2059.4165,2006.3318,2091.5251
3393.645751953125,3434.2888,3403.4097,3436.8276,3446.2314,3422.1006,3385.233,3448.4775,3424.5322,3442.3901,3438.8499,3463.6528,3410.7717
2370.862548828125,2311.4834,2256.1301,2231.944,2251.9775,2095.0103,1915.472,1869.1106,2264.903,2200.968,1975.902,2121.873,2279.004
