V1,V2,V3,V4,V5,V6
7254.56787109375,7282.1597,7306.5723,7322.2925,7320.6567,7361.678
1714.4443359375,1955.2053,1825.5061,1642.1152,1758.3345,1853.2999
8488.533203125,8723.061,8933.046,9150.401,9367.105,9587.722
9810.8291015625,10073.33,10323.72,10596.275,10848.609,11080.857
7039.2099609375,7375.962,7687.9663,7963.3906,8248.578,8559.202
4097.04443359375,4261.161,4419.6904,4598.1084,4763.9077,4962.985
3638.239501953125,3802.6738,3835.0806,3870.7812,3974.311,4114.708
2402.26220703125,2413.8984,2403.5132,2390.3643,2395.3289,2404.055
2307.545654296875,2335.5637,2360.4666,2385.7363,2410.8115,2443.236
2316.95703125,2402.6934,2344.8857,2277.9263,2314.572,2350.0046
1486.11328125,1498.9203,1513.0813,1527.0665,1538.1936,1551.8744
2007.9384765625,2061.059,2114.054,2171.1816,2223.078,2278.3271
4721.109375,4879.5435,5042.012,5181.0576,5306.4736,5385.371
5084.048828125,5194.288,5299.248,5396.76,5463.4404,5519.3276
5404.0908203125,5569.967,5741.5034,5886.418,5993.134,6106.96
2596.9853515625,2657.5305,2718.5964,2769.4797,2814.1123,2839.6384
3841.608154296875,3940.2532,4026.3953,4115.6055,4191.9893,4249.3604
3197.5166015625,3261.567,3322.519,3377.109,3419.8186,3445.7373
3081.5390625,3241.6743,3474.2534,3688.263,3862.7104,4110.953
6495.89990234375,6588.6333,6723.23,6881.5767,7003.263,7156.6523
9347.5673828125,9573.529,9886.999,10324.016,10633.705,11006.454
4305.810546875,4550.494,4535.411,4505.5376,4651.423,4848.7446
9945.0322265625,10871.091,10295.989,9530.607,9993.995,10402.1875
8696.3955078125,9466.163,8902.938,8285.834,8641.212,8969.588
2349.8408203125,2398.5657,2461.0369,2533.2832,2585.7456,2661.1606
7251.759765625,7617.8174,7574.588,7556.951,7760.329,8080.271
1741.9033203125,1824.841,1829.1464,1836.3953,1891.6241,1956.6558
1731.4791259765625,1910.4722,1813.3226,1698.7734,1784.6279,1876.0679
4152.20849609375,4314.9424,4228.008,4128.279,4200.8813,4272.478
4523.89990234375,4646.071,4753.5874,4873.0264,4983.975,5108.256
3796.92724609375,3851.4517,3827.092,3790.4072,3810.572,3848.6812
5427.90576171875,5537.7925,5586.1123,5629.581,5704.112,5806.582
1273.4443359375,1294.1285,1313.0507,1334.362,1352.5464,1372.5751
1698.1212158203125,1722.5756,1747.6709,1772.3951,1794.9657,1822.9407
3402.94091796875,3467.819,3528.6006,3596.6882,3658.9504,3731.3655
1161.1522216796875,1179.9707,1185.9978,1190.7954,1202.428,1218.7739
3980.23876953125,4047.6511,4116.2686,4191.3276,4252.1826,4325.7803
1379.07666015625,1486.1494,1740.6138,1736.398,1707.2998,1926.356
3837.31689453125,3905.5945,4013.9636,4138.174,4199.6387,4321.2627
4709.8896484375,4840.0376,4957.38,5097.896,5207.595,5306.6733
14608.7470703125,14893.7705,15085.092,15344.795,15552.753,15778.12
5791.9755859375,6111.618,6449.959,6807.966,7143.7905,7490.569
2889.282958984375,3025.0762,3157.7742,3305.4185,3436.6748,3556.285
10148.9609375,10468.615,10788.074,11157.515,11466.26,11756.245
10094.318359375,10353.893,10614.196,10902.81,11139.054,11370.826
6335.5126953125,6667.7114,7073.8896,7493.7314,7875.5283,8252.717
6344.42578125,6677.54,7084.812,7505.7954,7888.4287,8266.198
6795.060546875,6828.439,6875.1978,6881.2505,6893.468,6869.887
2506.44189453125,2531.363,2553.7534,2576.8118,2596.049,2616.3823
18539.794921875,18750.31,18953.223,19146.238,19300.334,19464.932
8173.69287109375,8251.797,8336.178,8398.839,8458.315,8511.262
17816.1796875,19123.875,20265.643,21548.607,22895.148,24367.938
19894.421875,21627.36,23849.012,26276.535,28332.363,30640.773
8832.01953125,9545.223,10386.858,11311.211,12085.676,12857.217
2745.51123046875,2974.3618,3233.961,3512.4639,3759.0671,4014.0552
12236.169921875,13463.881,14894.205,16394.89,17735.21,19195.29
2126.45947265625,2261.6184,2396.7727,2550.511,2705.399,2860.8662
10075.40234375,10379.426,10815.244,11161.614,11457.434,11668.208
10035.064453125,10171.247,10291.676,10414.314,10554.278,10737.622
10074.5556640625,10318.729,10595.266,10865.521,11097.415,11315.227
10125.919921875,10601.617,10441.705,10247.119,10427.458,10753.17
10101.9453125,10579.566,11697.758,12555.599,12982.191,12979.078
10021.2255859375,10516.7,10781.512,11253.486,11796.515,12327.706
13347.80859375,13792.368,14136.916,14582.472,15041.914,15566.842
10420.5556640625,10658.452,10928.956,11402.315,11675.602,12117.131
10196.9130859375,10494.727,10965.287,11494.615,11893.689,12279.6045
10001.9072265625,10116.865,10197.549,10320.803,10390.985,10502.563
9974.0205078125,10037.215,10066.593,10096.588,10155.865,10245.871
10109.978515625,10365.248,10614.479,10911.692,11131.992,11281.838
10035.091796875,10047.536,10093.669,10132.287,10110.378,10193.816
9954.2109375,10074.709,10251.683,10468.025,10423.1455,10440.273
10316.9208984375,10742.108,11152.654,11657.152,12131.582,12599.036
10167.3544921875,10396.025,10481.752,10477.404,10600.547,10748.474
10256.2255859375,10373.732,10460.921,10448.39,10478.249,10707.956
10141.5859375,10229.283,10236.902,10273.951,10320.481,10416.509
10167.8759765625,10340.066,10421.627,10518.615,10627.231,10766.022
10155.439453125,10476.559,10774.92,11021.379,11298.8125,11634.762
9744.20703125,10044.03,10382.829,10811.258,11121.805,11338.235
4671.34326171875,4798.852,4970.4277,5046.725,5039.1064,5303.133
3642.256103515625,3608.808,3944.3171,3818.9634,3673.3547,3716.7063
4496.9423828125,4702.5146,4928.885,5193.1543,5418.705,5633.627
10640.49609375,10866.229,11040.487,11353.309,11359.293,11667.854
9424.4755859375,9749.046,10094.438,10528.82,10838.521,11090.568
3730.050537109375,3732.3762,3734.601,3737.489,3736.3906,3744.4324
1562.59619140625,1597.0999,1648.0485,1695.6664,1726.5444,1745.683
2585.735595703125,2656.3936,2689.6978,2715.443,2773.934,2840.883
9891.3896484375,9976.542,10111.983,10171.956,9927.187,9761.367
