V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
152.2679901123047,153.90038,149.48128,148.31407,154.50456,154.23053,151.82376,153.65112,149.48502,148.30806,154.50803,154.23413,151.82774,153.64214
152.26788330078125,153.90045,149.48047,148.31442,154.50366,154.23009,151.82465,153.65196,149.48422,148.30844,154.50713,154.23369,151.82861,153.643
152.26812744140625,153.90028,149.48036,148.31409,154.50365,154.23036,151.82498,153.65189,149.48412,148.30809,154.5071,154.23395,151.82893,153.64291
152.26641845703125,153.90147,149.47945,148.31444,154.50275,154.22742,151.82603,153.65451,149.4832,148.3085,154.50623,154.23105,151.83008,153.64566
152.26797485351562,153.90038,149.48132,148.31401,154.50464,154.2305,151.82378,153.65112,149.48506,148.30798,154.50807,154.2341,151.82773,153.64214
152.26876831054688,153.89972,149.48055,148.31325,154.50388,154.2305,151.82565,153.65149,149.4843,148.30725,154.50732,154.2341,151.82959,153.64249
152.2643585205078,153.90309,149.48576,148.32059,154.50848,154.2308,151.8107,153.64745,149.48961,148.31456,154.51201,154.2345,151.81474,153.63837
152.2681884765625,153.90019,149.48091,148.31389,154.50429,154.23059,151.82436,153.6513,149.48465,148.30789,154.50774,154.23419,151.82831,153.64232
152.26820373535156,153.9002,149.48088,148.31389,154.50424,154.23059,151.82437,153.65132,149.48462,148.30789,154.50772,154.23419,151.82834,153.64235
152.26853942871094,153.8999,149.4805,148.31343,154.50397,154.23077,151.82524,153.65138,149.48422,148.30742,154.50742,154.23439,151.82921,153.6424
152.26797485351562,153.90038,149.48083,148.31418,154.50415,154.23047,151.82422,153.65149,149.4846,148.30817,154.50763,154.23407,151.82817,153.64249
152.2681884765625,153.9002,149.48103,148.31389,154.50443,154.23068,151.82413,153.65115,149.48479,148.30789,154.50787,154.23428,151.82811,153.64217
152.26809692382812,153.90028,149.48117,148.31398,154.50446,154.23051,151.82404,153.65118,149.48491,148.30795,154.50792,154.23413,151.828,153.6422
