V1,V2,V3,V4,V5,V6,V7,V8
2567.5068359375,2568.4697,2553.3945,2564.2615,2559.0105,2561.2979,2567.3926,2568.3499
2567.5048828125,2568.4678,2553.3962,2564.2634,2559.0122,2561.3008,2567.3916,2568.3489
2567.569091796875,2568.5364,2553.32,2564.1958,2558.9404,2561.229,2567.4514,2568.4128
2567.52392578125,2568.4883,2553.375,2564.2446,2558.9924,2561.281,2567.409,2568.3677
2566.783203125,2567.7034,2554.0293,2564.8174,2559.6084,2561.8975,2566.7085,2567.6252
2567.409912109375,2568.3667,2553.507,2564.3604,2559.1155,2561.401,2567.3003,2568.252
2567.44970703125,2568.4092,2553.463,2564.3215,2559.074,2561.36,2567.338,2568.292
2567.407958984375,2568.3647,2553.509,2564.362,2559.1174,2561.4026,2567.2986,2568.2498
2567.4326171875,2568.3906,2553.4827,2564.3386,2559.0925,2561.3782,2567.3218,2568.2744
2567.446044921875,2568.4055,2553.4668,2564.3247,2559.078,2561.364,2567.3347,2568.2886
2567.47705078125,2568.4385,2553.432,2564.294,2559.0452,2561.332,2567.364,2568.3198
2567.312255859375,2568.2622,2553.6074,2564.4482,2559.2097,2561.4932,2567.2078,2568.1526
2567.35302734375,2568.3062,2553.568,2564.4136,2559.1726,2561.4573,2567.246,2568.1943
2567.2607421875,2568.208,2553.6604,2564.4946,2559.2588,2561.5415,2567.1587,2568.101
2567.1865234375,2568.1296,2553.721,2564.5483,2559.318,2561.6077,2567.0913,2568.0298
2567.284423828125,2568.233,2553.6418,2564.4766,2559.2417,2561.5237,2567.181,2568.1245
2567.400146484375,2568.357,2553.5178,2564.37,2559.1252,2561.4111,2567.291,2568.2422
2567.366455078125,2568.3193,2553.5547,2564.4,2559.1606,2561.4421,2567.2588,2568.2065
2567.34765625,2568.3005,2553.5732,2564.4185,2559.1775,2561.4614,2567.2412,2568.1885
2567.400390625,2568.357,2553.517,2564.3691,2559.1248,2561.411,2567.2915,2568.2427
2567.3974609375,2568.3535,2553.5203,2564.372,2559.128,2561.414,2567.2886,2568.2393
2567.3583984375,2568.3125,2553.5625,2564.4087,2559.1675,2561.453,2567.2515,2568.2004
2567.373779296875,2568.3281,2553.5457,2564.394,2559.1516,2561.4365,2567.2659,2568.215
2567.44677734375,2568.406,2553.4668,2564.3242,2559.0776,2561.3633,2567.3352,2568.2888
2567.466064453125,2568.4265,2553.4446,2564.3052,2559.057,2561.3433,2567.3535,2568.3086
2566.898193359375,2567.8267,2553.9321,2564.7385,2559.5195,2561.8188,2566.82,2567.745
2567.44921875,2568.4084,2553.4631,2564.3218,2559.0745,2561.3599,2567.3374,2568.291
2567.416015625,2568.3733,2553.5007,2564.3545,2559.1096,2561.3958,2567.3062,2568.2583
2567.5,2568.4624,2553.403,2564.2693,2559.0186,2561.3066,2567.3862,2568.3433
2567.48681640625,2568.4492,2553.4207,2564.2844,2559.0347,2561.3223,2567.3735,2568.3303
2567.452392578125,2568.4124,2553.4597,2564.3188,2559.0713,2561.3574,2567.3408,2568.295
2567.407958984375,2568.3645,2553.5078,2564.3608,2559.1167,2561.4028,2567.299,2568.25
2567.425537109375,2568.3833,2553.49,2564.3457,2559.0994,2561.3853,2567.315,2568.2673
2567.423095703125,2568.3809,2553.4924,2564.3477,2559.1018,2561.3877,2567.3127,2568.2651
2567.41796875,2568.3755,2553.498,2564.3525,2559.107,2561.3938,2567.308,2568.2603
2567.4150390625,2568.3723,2553.5022,2564.356,2559.1108,2561.3962,2567.3052,2568.257
2567.33447265625,2568.2866,2553.586,2564.4304,2559.189,2561.474,2567.2285,2568.1753
2567.44775390625,2568.4077,2553.4653,2564.323,2559.0767,2561.3647,2567.337,2568.2913
2567.268310546875,2568.216,2553.6475,2564.4832,2559.249,2561.536,2567.1675,2568.1104
2567.426025390625,2568.3843,2553.4897,2564.3447,2559.099,2561.3848,2567.3157,2568.2683
2567.4306640625,2568.389,2553.4844,2564.34,2559.094,2561.3794,2567.3198,2568.2727
2567.408203125,2568.3652,2553.5083,2564.3613,2559.1167,2561.4019,2567.2988,2568.2502
2567.41748046875,2568.3752,2553.4995,2564.3535,2559.1082,2561.3945,2567.3079,2568.2598
2567.438232421875,2568.3972,2553.4756,2564.333,2559.086,2561.3726,2567.3274,2568.2808
2567.4404296875,2568.3992,2553.4734,2564.3306,2559.084,2561.3694,2567.329,2568.2822
2567.3935546875,2568.3494,2553.5244,2564.3755,2559.1318,2561.4165,2567.2847,2568.2349
2567.41943359375,2568.3772,2553.4963,2564.3513,2559.1055,2561.392,2567.3093,2568.2617
2567.317138671875,2568.2678,2553.6035,2564.4448,2559.206,2561.4907,2567.2124,2568.1582
2567.41162109375,2568.369,2553.5054,2564.359,2559.1138,2561.4004,2567.3022,2568.254
2567.411376953125,2568.3687,2553.5059,2564.3594,2559.1145,2561.4014,2567.302,2568.254
2567.314453125,2568.2646,2553.6067,2564.4468,2559.2095,2561.493,2567.21,2568.155
2567.452392578125,2568.4119,2553.4607,2564.3193,2559.072,2561.3582,2567.3406,2568.2947
2567.40771484375,2568.364,2553.5098,2564.3623,2559.1182,2561.403,2567.2979,2568.249
2567.428466796875,2568.3865,2553.487,2564.3428,2559.0964,2561.3823,2567.3179,2568.2705
2567.447265625,2568.4065,2553.4668,2564.3247,2559.0774,2561.364,2567.3357,2568.2898
2567.4892578125,2568.4512,2553.418,2564.2815,2559.0322,2561.3184,2567.3755,2568.3315
2567.42431640625,2568.382,2553.4912,2564.3467,2559.1006,2561.3865,2567.314,2568.266
2567.47216796875,2568.4333,2553.4368,2564.2986,2559.0498,2561.337,2567.3599,2568.3152
2567.4697265625,2568.431,2553.4397,2564.3015,2559.0527,2561.3408,2567.3574,2568.3132
2567.4111328125,2568.3682,2553.5068,2564.3596,2559.1152,2561.401,2567.3013,2568.2532
2567.30029296875,2568.2502,2553.6228,2564.4614,2559.2236,2561.5066,2567.196,2568.1409
2567.2041015625,2568.149,2553.7102,2564.539,2559.3064,2561.5955,2567.107,2568.0469
2567.083251953125,2568.021,2553.8223,2564.6357,2559.4097,2561.6953,2566.9912,2567.9246
2567.300537109375,2568.25,2553.6235,2564.4622,2559.2239,2561.506,2567.196,2568.1406
2567.281494140625,2568.2302,2553.6377,2564.4756,2559.2383,2561.5232,2567.1787,2568.1226
2567.23095703125,2568.1765,2553.6907,2564.521,2559.2866,2561.5703,2567.1304,2568.0713
2567.26708984375,2568.215,2553.6543,2564.49,2559.2532,2561.5383,2567.165,2568.1082
2567.349365234375,2568.3022,2553.5715,2564.417,2559.176,2561.4597,2567.2424,2568.1902
2567.40478515625,2568.3625,2553.5,2564.3564,2559.1123,2561.4072,2567.2986,2568.2512
2567.421630859375,2568.3792,2553.4946,2564.349,2559.104,2561.39,2567.3113,2568.2637
2567.313720703125,2568.2664,2553.573,2564.4238,2559.185,2561.4878,2567.2146,2568.1624
2567.41748046875,2568.3752,2553.4988,2564.3535,2559.1077,2561.396,2567.3079,2568.26
2567.3681640625,2568.3225,2553.5522,2564.4,2559.1577,2561.4424,2567.2607,2568.2097
2567.349853515625,2568.303,2553.5718,2564.417,2559.1755,2561.4604,2567.2434,2568.1912
2567.4140625,2568.3713,2553.503,2564.3564,2559.1116,2561.397,2567.3042,2568.256
2567.412109375,2568.3694,2553.505,2564.3584,2559.1133,2561.3984,2567.3022,2568.2542
2567.3681640625,2568.322,2553.5527,2564.4004,2559.1582,2561.4429,2567.2603,2568.2092
2567.3671875,2568.3213,2553.5535,2564.4011,2559.159,2561.4436,2567.2593,2568.2085
2567.35205078125,2568.3052,2553.5696,2564.4148,2559.1738,2561.4578,2567.245,2568.193
2567.453857421875,2568.4138,2553.4585,2564.3174,2559.0698,2561.357,2567.3423,2568.2964
2567.46044921875,2568.4207,2553.4512,2564.311,2559.0632,2561.35,2567.3481,2568.3027
2567.49365234375,2568.4563,2553.412,2564.2769,2559.0269,2561.3145,2567.38,2568.337
2567.4443359375,2568.405,2553.443,2564.309,2559.0618,2561.3645,2567.3389,2568.2942
2567.493408203125,2568.4558,2553.4114,2564.2764,2559.0264,2561.314,2567.3796,2568.3364
2567.26513671875,2568.2126,2553.6562,2564.4907,2559.2551,2561.5403,2567.1633,2568.106
2567.47119140625,2568.4321,2553.437,2564.2993,2559.0503,2561.3381,2567.3586,2568.3142
2567.40478515625,2568.3613,2553.5132,2564.3655,2559.121,2561.4062,2567.2954,2568.2466
2567.50390625,2568.4673,2553.3948,2564.2632,2559.0112,2561.3018,2567.3904,2568.3481
2567.565673828125,2568.5334,2553.3208,2564.1978,2558.942,2561.233,2567.449,2568.4106
2567.413818359375,2568.371,2553.5056,2564.3584,2559.1143,2561.4023,2567.3047,2568.2566
2567.51806640625,2568.4824,2553.3828,2564.251,2558.9993,2561.288,2567.4033,2568.3618
2567.441162109375,2568.4004,2553.4722,2564.3296,2559.083,2561.3699,2567.3303,2568.2837
2567.4052734375,2568.3623,2553.5122,2564.3647,2559.12,2561.4058,2567.2961,2568.2476
2567.420166015625,2568.3777,2553.495,2564.3496,2559.1047,2561.3906,2567.31,2568.2622
2567.419921875,2568.3772,2553.496,2564.3503,2559.1055,2561.391,2567.3098,2568.262
2567.439453125,2568.398,2553.4722,2564.3303,2559.0835,2561.3716,2567.3286,2568.282
2567.4169921875,2568.3743,2553.4998,2564.3535,2559.1084,2561.3943,2567.3066,2568.2588
2567.57080078125,2568.5383,2553.3174,2564.1934,2558.9377,2561.226,2567.4534,2568.415
2567.77392578125,2568.7588,2553.0222,2563.936,2558.6653,2560.973,2567.6511,2568.6292
2567.5439453125,2568.5093,2553.3508,2564.2231,2558.9695,2561.2578,2567.4272,2568.3875
2567.49755859375,2568.4604,2553.4082,2564.273,2559.023,2561.311,2567.3838,2568.3413
2567.532958984375,2568.498,2553.362,2564.2334,2558.9802,2561.2703,2567.4185,2568.3774
2567.48876953125,2568.4512,2553.418,2564.2822,2559.032,2561.3193,2567.3752,2568.332
2567.48193359375,2568.4438,2553.423,2564.287,2559.037,2561.326,2567.3694,2568.3252
2567.4150390625,2568.3723,2553.502,2564.3555,2559.1104,2561.396,2567.3052,2568.257
2567.310302734375,2568.2612,2553.6116,2564.452,2559.2131,2561.4983,2567.206,2568.1519
2567.380859375,2568.3357,2553.5383,2564.3875,2559.1448,2561.4307,2567.2732,2568.223
2567.47314453125,2568.4343,2553.4363,2564.2979,2559.0493,2561.3357,2567.3604,2568.3157
2567.43017578125,2568.3887,2553.4846,2564.3408,2559.0942,2561.3806,2567.3198,2568.2725
2567.49267578125,2568.4556,2553.413,2564.2776,2559.0273,2561.3145,2567.3792,2568.336
2567.5166015625,2568.481,2553.3833,2564.252,2558.9998,2561.2886,2567.4019,2568.3604
2567.44482421875,2568.404,2553.4678,2564.3262,2559.0786,2561.3652,2567.3333,2568.2869
2567.482666015625,2568.4446,2553.425,2564.2886,2559.0388,2561.3267,2567.3696,2568.3262
2567.474609375,2568.4355,2553.4348,2564.2969,2559.0476,2561.3342,2567.3616,2568.317
2567.338134765625,2568.291,2553.5835,2564.4277,2559.1868,2561.473,2567.2324,2568.18
2567.5546875,2568.521,2553.3347,2564.2095,2558.9548,2561.246,2567.439,2568.4
2567.318359375,2568.2705,2553.571,2564.4229,2559.1821,2561.4812,2567.2183,2568.1658
2567.37890625,2568.3337,2553.5408,2564.3901,2559.147,2561.4326,2567.2708,2568.2205
2567.39404296875,2568.35,2553.5237,2564.375,2559.131,2561.417,2567.2854,2568.236
2567.215087890625,2568.1597,2553.7068,2564.5342,2559.3022,2561.5845,2567.115,2568.055
2567.450439453125,2568.4102,2553.462,2564.3208,2559.0735,2561.3606,2567.3389,2568.2932
2567.451171875,2568.4111,2553.4612,2564.3198,2559.0723,2561.3591,2567.3398,2568.294
2567.3701171875,2568.3247,2553.5503,2564.398,2559.1558,2561.4404,2567.2622,2568.212
2567.4482421875,2568.408,2553.4644,2564.3228,2559.0754,2561.3625,2567.337,2568.291
2567.53515625,2568.501,2553.3652,2564.2349,2558.9822,2561.2686,2567.419,2568.3792
2567.43603515625,2568.3948,2553.4788,2564.3354,2559.0886,2561.375,2567.3252,2568.2786
2567.39794921875,2568.354,2553.521,2564.3723,2559.1282,2561.4136,2567.2886,2568.2397
2567.42431640625,2568.3823,2553.4917,2564.3464,2559.1008,2561.3867,2567.314,2568.2666
2567.42431640625,2568.382,2553.492,2564.3467,2559.101,2561.387,2567.314,2568.2664
2567.43212890625,2568.3909,2553.4834,2564.3394,2559.0935,2561.3809,2567.322,2568.2754
2567.33642578125,2568.289,2553.583,2564.4277,2559.1868,2561.4734,2567.231,2568.1785
2567.36083984375,2568.315,2553.5586,2564.4062,2559.1638,2561.4502,2567.254,2568.2026
2567.388671875,2568.3442,2553.531,2564.3813,2559.138,2561.4229,2567.2798,2568.2302
2567.444091796875,2568.4036,2553.47,2564.3276,2559.0808,2561.368,2567.333,2568.2869
2567.3505859375,2568.304,2553.5706,2564.4155,2559.175,2561.4607,2567.2446,2568.1926
2567.424072265625,2568.3823,2553.4924,2564.3472,2559.1016,2561.3887,2567.3142,2568.2666
2567.37744140625,2568.3325,2553.5427,2564.3916,2559.1484,2561.434,2567.2695,2568.2192
2567.351318359375,2568.3044,2553.5708,2564.4158,2559.1748,2561.4597,2567.2446,2568.1926
2567.41650390625,2568.3738,2553.5002,2564.3545,2559.1091,2561.3955,2567.3066,2568.2583
2567.36328125,2568.3176,2553.5576,2564.4043,2559.1628,2561.4478,2567.2563,2568.205
2567.4375,2568.3962,2553.4768,2564.3335,2559.0872,2561.3735,2567.3267,2568.28
2567.381591796875,2568.337,2553.5388,2564.3877,2559.145,2561.4304,2567.2734,2568.2234
2567.258544921875,2568.205,2553.662,2564.4958,2559.2607,2561.5417,2567.156,2568.0974
2566.81884765625,2567.7427,2554.0151,2564.8042,2559.591,2561.8809,2566.7412,2567.6616
2567.359130859375,2568.313,2553.562,2564.4082,2559.1667,2561.4517,2567.252,2568.2004
2567.348876953125,2568.3018,2553.5725,2564.418,2559.1765,2561.462,2567.2422,2568.1904
2567.31298828125,2568.264,2553.6099,2564.4502,2559.2114,2561.4949,2567.208,2568.1538
2567.3359375,2568.2874,2553.5847,2564.4277,2559.1887,2561.473,2567.2305,2568.1768
2567.185791015625,2568.1284,2553.733,2564.5576,2559.3267,2561.606,2567.0867,2568.0244
2567.25634765625,2568.2031,2553.6611,2564.4954,2559.261,2561.5457,2567.1553,2568.0972
2567.384521484375,2568.3384,2553.536,2564.3848,2559.1423,2561.4246,2567.2756,2568.2244
2567.57421875,2568.5422,2553.3115,2564.1887,2558.9329,2561.2231,2567.4568,2568.419
2567.2802734375,2568.2288,2553.633,2564.4722,2559.2354,2561.5227,2567.1787,2568.122
2567.494384765625,2568.4563,2553.4102,2564.275,2559.0244,2561.3096,2567.3801,2568.3362
2567.428466796875,2568.3867,2553.4866,2564.3423,2559.0964,2561.3826,2567.318,2568.2708
2567.16064453125,2568.101,2553.7485,2564.5723,2559.3425,2561.628,2567.0647,2568.001
2567.16796875,2568.11,2553.7424,2564.565,2559.3384,2561.6265,2567.0728,2568.0105
2567.25439453125,2568.2014,2553.6665,2564.4998,2559.2646,2561.5483,2567.1533,2568.095
2567.363037109375,2568.314,2553.5557,2564.4004,2559.1624,2561.4436,2567.2563,2568.2021
2567.279052734375,2568.226,2553.6384,2564.475,2559.2402,2561.522,2567.1765,2568.1184
2567.4169921875,2568.3748,2553.4998,2564.3535,2559.1084,2561.3943,2567.3071,2568.2593
2567.4169921875,2568.3748,2553.4995,2564.3535,2559.1084,2561.394,2567.3071,2568.2593
2567.40576171875,2568.3623,2553.512,2564.3647,2559.1199,2561.4053,2567.2964,2568.2476
2567.409423828125,2568.3665,2553.5083,2564.3613,2559.1162,2561.402,2567.2998,2568.2515
2567.406005859375,2568.3628,2553.5117,2564.3643,2559.1196,2561.4055,2567.2966,2568.248
2567.40185546875,2568.3582,2553.5164,2564.3687,2559.124,2561.4092,2567.2925,2568.2437
2567.40869140625,2568.3655,2553.509,2564.3618,2559.1172,2561.403,2567.2988,2568.2507
2567.388671875,2568.3445,2553.5303,2564.3809,2559.1372,2561.4224,2567.2803,2568.2305
2567.394287109375,2568.3506,2553.5244,2564.3755,2559.1318,2561.4175,2567.2856,2568.2363
2567.4140625,2568.3716,2553.503,2564.3564,2559.1113,2561.397,2567.3044,2568.2563
2567.39208984375,2568.3477,2553.5266,2564.3772,2559.1338,2561.419,2567.2832,2568.2336
2567.418701171875,2568.3762,2553.4978,2564.352,2559.1067,2561.3926,2567.3086,2568.261
2567.42041015625,2568.378,2553.496,2564.3506,2559.105,2561.391,2567.31,2568.2625
2567.41748046875,2568.3752,2553.499,2564.353,2559.108,2561.3938,2567.3076,2568.2598
2567.4150390625,2568.372,2553.502,2564.356,2559.1108,2561.3965,2567.3052,2568.2568
2567.40576171875,2568.3625,2553.5117,2564.3647,2559.1199,2561.4055,2567.2964,2568.2476
2567.40576171875,2568.3625,2553.5122,2564.3647,2559.12,2561.4058,2567.2961,2568.2478
2567.4150390625,2568.3723,2553.502,2564.356,2559.1106,2561.3965,2567.3052,2568.257
2567.40673828125,2568.364,2553.5107,2564.3635,2559.1187,2561.4045,2567.2974,2568.249
2567.39501953125,2568.351,2553.524,2564.375,2559.1309,2561.4165,2567.2861,2568.2368
2567.41357421875,2568.3708,2553.5037,2564.3572,2559.1123,2561.398,2567.3037,2568.2559
2567.4208984375,2568.3792,2553.495,2564.3496,2559.104,2561.3901,2567.311,2568.2634
2567.416015625,2568.3735,2553.5007,2564.3547,2559.1096,2561.3955,2567.3062,2568.258
2567.42138671875,2568.3792,2553.495,2564.3496,2559.104,2561.3901,2567.3113,2568.2637
2567.43408203125,2568.3926,2553.481,2564.3374,2559.0908,2561.377,2567.3232,2568.2764
2567.4130859375,2568.37,2553.5044,2564.3577,2559.1125,2561.3984,2567.303,2568.255
2567.4111328125,2568.3684,2553.506,2564.3591,2559.1145,2561.4,2567.3018,2568.2534
2567.41015625,2568.3674,2553.507,2564.36,2559.1152,2561.401,2567.3008,2568.2522
2567.389892578125,2568.3457,2553.5293,2564.38,2559.1362,2561.4219,2567.2812,2568.2317
2567.4140625,2568.3718,2553.5027,2564.3564,2559.1113,2561.3972,2567.3044,2568.2563
2567.421875,2568.38,2553.4941,2564.349,2559.1033,2561.3894,2567.312,2568.2644
2567.4228515625,2568.381,2553.493,2564.348,2559.1023,2561.3884,2567.313,2568.2654
2567.4208984375,2568.3787,2553.4954,2564.35,2559.1045,2561.3906,2567.3108,2568.2634
2567.43212890625,2568.3909,2553.483,2564.3389,2559.0925,2561.379,2567.3215,2568.2747
2567.43408203125,2568.393,2553.481,2564.337,2559.0906,2561.377,2567.3232,2568.2766
2567.43359375,2568.3926,2553.4812,2564.3376,2559.091,2561.3772,2567.3232,2568.2761
2567.394287109375,2568.3506,2553.5247,2564.3755,2559.1316,2561.4177,2567.2856,2568.2366
2567.452880859375,2568.4128,2553.46,2564.319,2559.071,2561.3582,2567.3413,2568.2957
2567.418701171875,2568.3762,2553.4958,2564.351,2559.1055,2561.3926,2567.3093,2568.2615
2567.36181640625,2568.316,2553.5518,2564.4006,2559.159,2561.4492,2567.2566,2568.2056
2567.4208984375,2568.3784,2553.4954,2564.35,2559.1042,2561.3901,2567.3108,2568.2632
2567.3759765625,2568.3306,2553.544,2564.3928,2559.15,2561.4355,2567.268,2568.2175
2566.553466796875,2567.4639,2554.201,2564.96,2559.7603,2562.0435,2566.487,2567.3945
2567.093505859375,2568.0308,2553.7886,2564.6099,2559.3838,2561.6772,2567.005,2567.938
2567.06640625,2568.0051,2553.7354,2564.5732,2559.3503,2561.67,2566.9775,2567.912
2567.30712890625,2568.2573,2553.616,2564.4553,2559.2173,2561.5012,2567.2026,2568.148
2567.0849609375,2568.0222,2553.8218,2564.6357,2559.4087,2561.6926,2566.991,2567.9238
2566.506591796875,2567.419,2554.123,2564.9082,2559.709,2562.0344,2566.4402,2567.3499
2566.76513671875,2567.6897,2553.9695,2564.7686,2559.5713,2561.8862,2566.694,2567.6155
2566.890869140625,2567.8206,2553.9414,2564.7412,2559.5264,2561.8296,2566.8152,2567.7412
2567.84521484375,2568.8315,2552.9673,2563.8672,2558.6104,2560.907,2567.7197,2568.6995
2566.38330078125,2567.2893,2554.27,2565.0222,2559.8286,2562.1255,2566.3237,2567.227
