V1,V2,V3,V4,V5,V6
2219.479248046875,2217.687,2221.5752,2206.912,2193.0874,2159.6084
2219.472412109375,2217.687,2221.5752,2206.9048,2193.0854,2159.6216
2219.475341796875,2217.684,2221.577,2206.9126,2193.0908,2159.613
2219.4755859375,2217.6846,2221.577,2206.912,2193.0908,2159.613
2219.4716796875,2217.6807,2221.5776,2206.9124,2193.0957,2159.6162
2219.47119140625,2217.682,2221.578,2206.9116,2193.0933,2159.6187
2219.4716796875,2217.683,2221.5776,2206.9111,2193.0918,2159.6184
2219.478515625,2217.6863,2221.5757,2206.9116,2193.088,2159.61
2219.47705078125,2217.6855,2221.576,2206.9116,2193.089,2159.6116
2219.477294921875,2217.6858,2221.576,2206.9114,2193.0884,2159.612
2219.4775390625,2217.6858,2221.576,2206.9116,2193.0886,2159.6113
2219.47509765625,2217.6838,2221.5767,2206.912,2193.0913,2159.6143
2219.47412109375,2217.6826,2221.5771,2206.9136,2193.0933,2159.6118
2219.474853515625,2217.6836,2221.577,2206.913,2193.092,2159.6116
2219.473388671875,2217.6824,2221.5776,2206.9136,2193.0933,2159.6128
2219.475830078125,2217.683,2221.5762,2206.913,2193.0923,2159.6108
2219.473388671875,2217.6812,2221.577,2206.913,2193.0947,2159.6145
2219.4755859375,2217.683,2221.5764,2206.913,2193.0923,2159.6113
2219.46142578125,2217.679,2221.579,2206.9082,2193.0964,2159.6326
2219.4775390625,2217.687,2221.5762,2206.9116,2193.087,2159.6113
2219.474365234375,2217.686,2221.5771,2206.9114,2193.0884,2159.6152
2219.471923828125,2217.6855,2221.5771,2206.9104,2193.0889,2159.6199
2219.47705078125,2217.6885,2221.576,2206.91,2193.0854,2159.6135
2219.473876953125,2217.6858,2221.5767,2206.9102,2193.0884,2159.6182
2219.474609375,2217.686,2221.5767,2206.911,2193.088,2159.6162
2219.471923828125,2217.6868,2221.5767,2206.9106,2193.0874,2159.618
2219.472900390625,2217.6855,2221.577,2206.9104,2193.0889,2159.6187
2219.4736328125,2217.6868,2221.577,2206.9106,2193.0872,2159.617
2219.4765625,2217.6858,2221.5762,2206.9114,2193.0886,2159.6125
2219.474609375,2217.6829,2221.5767,2206.912,2193.0923,2159.6147
2219.4775390625,2217.6855,2221.5757,2206.9111,2193.0889,2159.612
2219.476806640625,2217.6853,2221.5764,2206.9116,2193.0894,2159.6123
2219.476318359375,2217.684,2221.5762,2206.9119,2193.0908,2159.6133
2219.476318359375,2217.6843,2221.5762,2206.9116,2193.0903,2159.613
2219.4755859375,2217.6846,2221.5767,2206.9116,2193.09,2159.6135
2219.47705078125,2217.6855,2221.5762,2206.9116,2193.0889,2159.612
2219.475830078125,2217.685,2221.5767,2206.9116,2193.0896,2159.6133
2219.4853515625,2217.6907,2221.5664,2206.9146,2193.085,2159.5957
2219.474365234375,2217.6821,2221.5752,2206.9124,2193.093,2159.6167
2219.474853515625,2217.6838,2221.5767,2206.913,2193.0916,2159.6123
2219.476318359375,2217.6846,2221.5762,2206.9126,2193.0903,2159.6113
2219.4697265625,2217.6802,2221.5786,2206.9124,2193.0957,2159.6196
2219.470703125,2217.6804,2221.5781,2206.9128,2193.0957,2159.6172
2219.4736328125,2217.6821,2221.577,2206.9126,2193.0935,2159.6152
2219.47509765625,2217.6838,2221.5767,2206.9126,2193.0916,2159.6133
2219.468017578125,2217.6772,2221.5786,2206.9119,2193.0986,2159.623
2219.4677734375,2217.6772,2221.5786,2206.9119,2193.0986,2159.623
2219.48046875,2217.6875,2221.5752,2206.912,2193.0862,2159.607
2219.477294921875,2217.685,2221.576,2206.9119,2193.0894,2159.611
2219.47705078125,2217.685,2221.576,2206.912,2193.0896,2159.611
2219.47705078125,2217.6848,2221.576,2206.912,2193.0898,2159.6113
2219.4658203125,2217.678,2221.5796,2206.913,2193.0986,2159.622
2219.4404296875,2217.663,2221.5835,2206.9077,2193.1138,2159.6504
2219.458984375,2217.6726,2221.581,2206.913,2193.1045,2159.6294
2219.460205078125,2217.6738,2221.581,2206.9128,2193.1033,2159.6282
2219.447998046875,2217.6624,2221.5823,2206.9116,2193.1157,2159.6423
2219.46826171875,2217.679,2221.5789,2206.9119,2193.0967,2159.622
2219.4736328125,2217.6816,2221.577,2206.912,2193.0945,2159.6147
2219.47802734375,2217.6868,2221.5762,2206.912,2193.0874,2159.6099
2219.47607421875,2217.6848,2221.5767,2206.9126,2193.09,2159.6118
2219.480224609375,2217.6914,2221.5762,2206.9126,2193.0825,2159.6047
2219.46044921875,2217.6675,2221.5786,2206.9148,2193.1162,2159.62
2219.472900390625,2217.685,2221.5776,2206.9148,2193.0898,2159.6123
2219.47509765625,2217.686,2221.5776,2206.9128,2193.0884,2159.6104
2219.47509765625,2217.6902,2221.5774,2206.9138,2193.0835,2159.6086
2219.475341796875,2217.685,2221.577,2206.9111,2193.0894,2159.6145
2219.47705078125,2217.6848,2221.5757,2206.9124,2193.09,2159.6108
2219.47900390625,2217.6865,2221.575,2206.912,2193.088,2159.609
2219.47314453125,2217.6807,2221.5767,2206.9126,2193.095,2159.6157
2219.4814453125,2217.6902,2221.5752,2206.9116,2193.0833,2159.606
2219.477783203125,2217.687,2221.5762,2206.9146,2193.0874,2159.6057
2219.4716796875,2217.6802,2221.5774,2206.9119,2193.0952,2159.6191
2219.47265625,2217.678,2221.5767,2206.9106,2193.0986,2159.6182
2219.473876953125,2217.6794,2221.5752,2206.912,2193.0957,2159.6172
