V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2033.3408203125,2035.4795,2034.9873,2038.4615,2030.5758,2036.5118,2039.3723,2030.3849,2042.6288,2048.9119,2048.7837,2045.6693,2046.3235,2046.0321
2996.451171875,3000.8547,2997.7478,2997.3406,2999.1846,2995.2449,3005.072,2999.8562,3006.4534,3013.3972,3006.1404,3002.8877,3000.3306,3002.8833
1099.8670654296875,1094.2812,1093.0681,1098.5936,1099.7627,1093.3885,1094.6254,1094.0325,1103.5938,1102.6802,1096.6775,1095.7623,1096.0402,1095.167
1238.01025390625,1229.9458,1230.347,1230.7246,1230.8347,1232.4027,1230.6531,1228.1035,1226.0529,1228.6508,1228.903,1226.3514,1226.9647,1227.703
5800.51708984375,5804.141,5809.021,5809.3857,5816.727,5809.713,5810.9033,5802.021,5798.463,5820.5396,5817.5806,5809.116,5804.597,5814.562
3107.787109375,3094.0535,3100.6035,3099.2344,3103.986,3097.4329,3103.8083,3101.9526,3092.1523,3105.0896,3101.0955,3096.5369,3093.3657,3101.9307
4432.66943359375,4419.795,4426.494,4381.96,4399.0806,4388.892,4434.228,4437.136,4364.5986,4380.8286,4383.904,4369.114,4366.2354,4430.1616
1746.400390625,1740.8676,1702.9917,1746.2996,1744.5636,1743.1672,1744.2892,1736.9973,1737.4945,1742.0927,1743.3057,1743.8177,1739.5043,1737.1671
1602.623291015625,1593.3142,1550.5953,1602.75,1600.0895,1598.8972,1599.8431,1591.9207,1593.7183,1596.0038,1598.6318,1599.7484,1595.4064,1588.7704
2606.29443359375,2605.4038,2606.1047,2605.8374,2606.3682,2608.4666,2580.5464,2586.6191,2586.5508,2600.1562,2594.9285,2604.1152,2590.4023,2602.886
2439.97802734375,2408.276,2397.7935,2401.9402,2440.0432,2399.1477,2423.7747,2441.1484,2394.3325,2437.8948,2412.0098,2428.2869,2448.9714,2431.825
3588.988037109375,3596.8164,3598.2622,3602.204,3603.4023,3592.037,3586.964,3588.0974,3587.5906,3606.0427,3598.103,3600.669,3587.1929,3604.0242
6992.05419921875,6997.08,7002.3433,7006.277,7010.5166,7001.1284,6984.1743,6992.148,6988.6406,7015.578,7008.977,7003.275,6992.5874,7011.231
5572.873046875,5562.2476,5563.819,5586.0557,5580.197,5558.2266,5590.7837,5549.327,5596.444,5614.1914,5609.4517,5598.8247,5596.2983,5550.511
6122.95703125,6106.323,6113.274,6112.3037,6074.7764,6095.03,6094.7847,6090.4585,6031.7974,6098.877,6093.0283,6084.452,6073.5767,6075.666
