V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
625.76904296875,613.17975,612.6615,599.4491,581.4538,573.54456,572.1681,570.8996,588.94116,584.65356,580.856,592.02295,564.11115,570.20764,595.1307,590.53107,639.91144,644.73206,637.4033,634.1074,620.25165,617.9542,592.88367,578.9931,560.1785,533.18335,526.4444,515.1941,506.31555,510.02255,513.207,529.5022,563.88043,567.25336,574.98193,588.78577,597.8396,602.825,617.753,598.17896,610.4344,608.4943,605.13715,601.3646,600.6613,597.6238,595.3844,576.1341
2802.887939453125,2756.6685,2741.7957,2679.2576,2598.501,2556.332,2542.675,2521.3176,2594.1943,2567.7114,2547.131,2592.539,2431.5876,2458.422,2568.9849,2552.207,2789.9412,2814.263,2787.9717,2779.3909,2725.8945,2722.3877,2620.0964,2569.7163,2491.7544,2373.4915,2345.1716,2291.301,2249.8647,2262.2942,2267.9224,2333.094,2475.0918,2482.0508,2505.6682,2563.3718,2586.9585,2601.654,2665.962,2585.5515,2650.5076,2641.231,2631.0498,2618.71,2623.1665,2616.1904,2614.9946,2590.6035
1090.2275390625,1073.1317,1072.2855,1048.5688,1017.765,995.4044,987.69696,971.10406,993.9864,976.57294,965.27795,980.38794,919.9749,927.0356,967.6589,962.50525,1050.2177,1060.7365,1052.3574,1051.1553,1036.526,1038.9779,1006.4188,993.5165,968.9044,925.7254,915.4708,895.84814,881.1937,883.7908,882.12634,902.5698,953.0801,951.3398,955.16815,972.8764,978.5418,984.0564,1004.13696,972.48816,996.2166,995.4956,995.53156,994.34546,997.9229,1001.01544,1006.6164,993.4391
4695.92578125,4627.8286,4622.4697,4523.2856,4408.756,4312.579,4261.623,4174.654,4252.995,4159.416,4093.6233,4142.5674,3852.7263,3869.8735,4034.003,4023.2393,4401.4243,4456.513,4443.8228,4459.568,4424.8945,4455.368,4344.7617,4314.3223,4221.408,4044.2183,4006.4602,3914.842,3842.1418,3838.3372,3802.8535,3871.549,4063.3093,4029.0825,4023.6763,4081.328,4083.7222,4088.6528,4171.972,4056.2427,4170.852,4178.0234,4200.1665,4215.812,4258.8003,4294.0435,4344.9272,4367.2095
2492.684814453125,2432.5393,2406.4487,2335.3672,2248.6343,2181.6172,2139.1023,2100.793,2139.705,2108.8364,2093.6023,2131.732,1989.7413,2029.8414,2144.2476,2156.725,2386.8567,2440.5347,2454.8494,2459.157,2433.9778,2449.4346,2373.46,2331.7803,2254.2168,2121.2231,2065.5051,1994.1874,1923.6919,1899.9397,1876.8029,1912.5308,2020.5557,2009.8059,2029.1636,2078.39,2103.3115,2131.0464,2206.324,2159.7104,2250.7314,2271.4133,2292.628,2299.0562,2327.6748,2331.5676,2348.833,2333.072
5742.85791015625,5722.154,5810.408,5763.7812,5702.371,5706.3613,5727.0693,5668.567,5837.5073,5745.263,5648.4956,5683.9946,5302.914,5251.7065,5382.2803,5265.396,5630.328,5588.432,5421.502,5382.064,5276.481,5260.846,5086.2134,5061.292,5009.4683,4901.839,4962.0503,4959.223,5010.306,5127.191,5183.9907,5340.815,5641.8525,5652.795,5637.3853,5694.2695,5634.961,5556.771,5586.4146,5347.9585,5356.6206,5235.6484,5165.9883,5127.141,5071.588,5102.9243,5119.638,5162.5713
37051.578125,36490.43,36393.934,35578.516,34651.805,33985.875,33493.336,32825.254,33452.96,32711.002,32220.12,32599.686,30302.977,30502.37,31847.158,31788.162,34798.418,35289.47,35213.195,35324.22,35043.426,35310.164,34395.12,34147.19,33388.395,31917.81,31515.453,30786.162,30175.807,30094.66,29793.334,30334.633,31853.566,31587.557,31565.955,32032.21,32062.072,32123.967,32847.76,31920.441,32874.105,32919.555,33118.234,33238.992,33583.523,33862.254,34268.97,34536.074
28542.951171875,28015.576,28067.135,27517.13,26736.111,26410.068,26372.383,26184.47,27049.354,26874.71,26713.627,27162.799,25463.475,25686.43,26798.615,26520.646,28902.852,29055.537,28628.963,28413.178,27789.564,27661.91,26536.98,25961.732,25160.982,24002.973,23791.701,23330.88,23031.479,23285.412,23478.275,24247.045,25797.994,25971.34,26275.84,26900.98,27085.732,27158.947,27794.889,26908.2,27460.654,27201.64,26987.104,26767.979,26654.574,26518.078,26414.416,26204.219
34396.78515625,33877.207,33927.4,33274.75,32430.244,31979.344,31812.76,31401.33,32244.102,31799.686,31440.414,31881.162,29748.773,29890.15,31118.793,30856.62,33627.01,33849.97,33472.266,33384.83,32861.7,32875.695,31782.217,31350.082,30566.64,29290.719,29093.793,28539.275,28172.754,28381.115,28413.643,29164.03,30816.615,30815.25,30954.783,31529.025,31613.887,31626.617,32263.223,31258.902,31936.35,31740.266,31634.305,31535.426,31588.137,31634.553,31739.562,31754.803
405.7672119140625,400.76724,402.03833,393.78668,384.76144,377.78824,376.63367,366.2107,375.75308,366.99423,360.7775,365.04617,345.63174,345.09213,357.0426,353.51584,383.30798,384.92557,379.98303,380.10297,375.811,376.8452,367.44214,365.15137,359.33633,347.18167,346.77396,341.86798,339.5513,342.3896,342.05234,349.69458,367.62003,366.23508,365.61148,369.49066,369.07144,368.40894,372.9419,362.0241,367.31213,365.31894,364.97757,365.50446,366.4794,369.46335,372.65594,360.4575
