V1,V2,V3,V4,V5,V6,V7,V8
6746.24365234375,6674.045,6723.1675,6766.469,6864.469,6913.3374,6969.8125,6899.492
6982.45458984375,6919.1875,6949.1885,6990.9893,7082.974,7175.2812,7211.2305,7162.943
7045.40234375,7131.184,7162.394,7090.535,7285.4194,7314.8413,7401.6284,7338.1494
7609.1533203125,7563.1816,7613.7554,7633.76,7772.8125,7849.16,7870.245,7825.6636
1269.633056640625,1094.8695,1178.3384,1304.611,1121.052,1101.0496,1288.846,1281.394
9757.7421875,9824.965,9880.3545,9927.41,9959.369,9994.014,10042.846,10101.526
3387.32568359375,3365.4138,3388.1238,3406.974,3429.8884,3445.7334,3435.474,3546.8254
2628.696533203125,2605.7603,2625.907,2642.7388,2655.1233,2658.6028,2687.2808,2662.652
2527.5087890625,2501.3357,2513.7615,2539.2966,2541.8096,2555.2476,2580.9426,2587.15
2584.589599609375,2558.2534,2589.5325,2599.5076,2610.8162,2623.9612,2737.1128,2618.9453
1184.0589599609375,1174.152,1185.0538,1298.1646,1203.2328,1208.2692,1220.9496,1317.1669
3313.884765625,3125.304,3361.0085,3404.8596,3404.6396,3214.606,3452.1536,3461.3206
1824.742431640625,1784.675,1796.8174,1803.8983,1884.9503,1857.206,1835.7383,1842.9766
12074.4248046875,12090.765,12114.847,12266.737,12340.633,12184.321,12478.719,12474.431
1287.2674560546875,1376.947,1350.9904,1334.949,1312.6201,1308.1222,1354.2252,1412.0684
2082.06201171875,2072.276,2115.4822,2097.3948,2074.3281,2084.014,2122.4204,2122.0222
2489.003662109375,2536.4175,2486.265,2496.1296,2480.7236,2517.5046,2465.8372,2605.1445
4723.826171875,4785.5215,4890.081,4944.4956,4857.918,4814.724,5044.8506,4897.1494
5613.34375,5590.868,5648.27,5689.564,5733.389,5752.588,5807.3843,5826.3228
6252.150390625,6253.154,6218.622,6342.521,6356.423,6396.8394,6403.1587,6499.2554
9578.072265625,9540.802,9607.818,9710.178,9753.46,9825.76,9842.999,9923.336
5200.3486328125,5192.494,5300.8945,5278.559,5190.4473,5312.374,5354.6724,5394.2886
6026.8173828125,5946.4546,6035.354,6113.935,6126.603,6155.4683,6231.427,6203.063
2386.408203125,2328.341,2381.4617,2372.2935,2355.325,2398.652,2435.0415,2442.4265
1437.5234375,1410.9978,1439.966,1372.7268,1388.4777,1394.8793,1537.6309,1456.2834
8404.6552734375,8272.634,8308.71,8501.464,8525.997,8392.134,8473.106,8683.594
9307.7646484375,9216.485,9425.327,9382.346,9412.819,9507.903,9434.321,9538.35
4963.80224609375,4971.3604,4998.962,4841.5547,5045.0103,5032.7437,5072.084,5173.8066
1910.287841796875,1920.5524,1946.3925,1900.3806,2001.533,1949.0599,1960.4567,1941.2255
3046.391845703125,3157.1743,3102.2583,3109.7698,3187.479,3294.314,3169.4539,3188.865
2577.386962890625,2544.8643,2530.158,2592.7925,2551.9817,2688.6099,2546.062,2608.0786
4628.5595703125,4577.2744,4676.031,4713.8667,4746.8135,4773.6685,4778.68,4768.34
8304.8525390625,8341.945,8351.404,8395.305,8509.195,8549.477,8443.014,8585.805
7261.5390625,7245.7036,7264.4883,7363.469,7190.394,7492.663,7281.6924,7492.427
10136.66796875,10168.941,10326.371,10181.911,10385.051,10442.289,10329.819,10440.697
9112.8896484375,8957.919,9257.106,9047.528,9268.57,9142.617,9167.817,9444.117
4527.568359375,4449.7847,4419.6045,4489.624,4575.2607,4506.799,4519.374,4727.028
6471.13623046875,6349.0703,6557.045,6388.3784,6497.821,6387.1206,6450.015,6638.462
5946.49072265625,5908.0034,6071.6807,6104.408,5908.638,5987.8765,6128.549,6167.1787
5249.6884765625,5308.043,5288.3584,5391.144,5349.1045,5380.3115,5363.1475,5471.505
1925.9661865234375,1900.5576,1908.2119,1925.8225,1949.3809,1954.645,1967.2401,1885.6536
2180.286376953125,2107.0986,2111.156,2133.5308,2167.114,2155.4485,2170.4683,2163.1084
5421.798828125,5423.5605,5462.6655,5476.2793,5499.9478,5552.868,5492.613,5617.9526
1322.832763671875,1288.6777,1279.7197,1279.5068,1376.5237,1375.2712,1327.8964,1326.7013
1930.2138671875,1908.9963,1916.5281,1908.6588,1968.6895,1972.8693,1984.6747,1894.0941
3397.76025390625,3450.474,3434.7693,3383.0957,3515.535,3448.6057,3557.2485,3508.6528
9789.91796875,9780.328,9796.742,9853.194,9835.984,10015.662,9905.817,10021.685
