V1,V2,V3,V4,V5,V6
7385.37060546875,7767.123,7810.1626,7643.9585,7705.298,7898.643
1366.5948486328125,1302.5659,1364.1486,1427.4277,1464.6027,1479.7501
8451.306640625,8614.35,8883.913,9065.834,9412.655,9518.143
9684.818359375,9909.815,10194.51,10349.17,10712.947,10884.699
6810.76171875,6984.8086,7288.1416,7420.8765,7746.2793,7808.0776
3860.953125,3827.5051,4007.082,4215.5566,4420.4844,4431.3213
3469.522705078125,3403.619,3554.4912,3717.6511,3943.5703,3967.1255
2510.003173828125,2401.3801,2491.638,2557.36,2638.0906,2839.5244
2382.90185546875,2327.961,2402.1636,2517.0889,2633.5005,2660.5874
2377.802978515625,2257.9817,2347.938,2446.9119,2587.4346,2688.3762
1584.581787109375,1564.5054,1619.0844,1683.0125,1785.8794,1776.156
2053.111572265625,2109.349,2204.2607,2348.9563,2355.389,2328.0344
4960.75341796875,5064.3774,5245.8965,5404.5747,5433.748,5296.8047
5319.17578125,5348.4478,5549.0723,5744.6416,5840.4536,5543.7446
5530.13232421875,5596.3506,5850.042,6081.215,6189.5454,6313.836
2705.54443359375,2930.7927,2951.4338,2959.868,2791.4028,2888.2876
4084.849853515625,4051.8962,4164.493,4285.5693,4283.4214,4189.275
3322.586181640625,3467.9556,3544.9258,3575.4744,3449.046,3519.8418
2623.39697265625,2655.382,2806.2822,3083.8042,3190.7634,3145.8108
6310.25439453125,6490.2036,6582.279,6719.9175,6913.049,6978.8716
8695.6484375,8936.686,9173.658,9400.98,9711.884,9829.663
4018.069580078125,3984.6982,4144.055,4353.616,4599.726,4588.752
8947.380859375,8913.666,9138.389,9394.979,9663.785,9816.888
8171.24072265625,8136.1597,8387.27,8678.669,9010.217,9117.094
2301.827392578125,2294.3975,2409.5645,2559.8306,2595.7048,2588.6116
6618.67333984375,6632.808,6886.075,7178.8496,7434.0303,7493.3794
1710.503662109375,1658.6729,1749.5543,1891.2397,1977.9972,1964.5522
1680.0765380859375,1621.6467,1706.0356,1842.4662,1942.1885,1928.4602
4147.73193359375,4058.0623,4204.476,4355.525,4570.266,4612.5044
4473.04052734375,4281.0254,4550.809,4865.7886,4988.8584,5013.203
3801.890380859375,3588.3323,3672.5693,3807.2993,4052.6245,4243.055
5379.77685546875,5305.4097,5476.77,5664.7505,5898.393,5970.332
1375.4669189453125,1223.2372,1244.5771,1488.2433,1526.8707,1544.3303
1780.6937255859375,1469.6729,1512.4403,1833.5724,1954.3344,2008.8608
3392.706298828125,3326.9834,3474.1777,3628.7925,3786.1401,3804.7136
1259.3990478515625,1210.3322,1257.8369,1313.1763,1403.2222,1433.4597
3936.296630859375,3878.4702,4027.3938,4184.2124,4383.7124,4407.84
4782.71923828125,5000.1846,4480.126,4139.324,4015.4756,4211.5137
3968.2685546875,4156.83,3951.6035,3930.4927,4033.0586,4145.575
4927.46435546875,5135.4473,5253.5034,5260.096,5140.4473,5296.467
15056.28515625,15344.542,15662.445,15869.212,16099.563,16366.584
5457.65478515625,5722.9824,5922.6343,6121.448,6323.6025,6393.118
2901.8525390625,3038.5608,3155.6143,3273.5442,3409.743,3448.5164
10126.888671875,10414.8955,10658.05,10876.13,11028.756,11294.612
10121.62890625,10398.515,10645.52,10856.537,10982.732,11198.499
6025.78466796875,6289.5103,6530.4653,6703.8687,6946.377,6933.445
6033.185546875,6297.1675,6538.43,6711.635,6955.269,6942.86
6974.98681640625,7022.441,7402.7075,7422.7114,7275.282,7299.631
2645.056884765625,2587.2485,2645.1301,2765.0176,2892.1594,2899.4214
18707.63671875,18845.38,19255.463,19695.805,20124.422,20489.676
8361.294921875,8349.782,8535.292,8738.299,8971.021,9113.326
15892.0556640625,16391.549,17097.734,17715.014,18334.86,18494.844
15051.4150390625,15534.526,16599.422,17368.424,18064.0,18242.879
7753.25244140625,8076.9766,8499.963,8857.321,9206.658,9189.125
2466.134521484375,2696.3154,2816.906,2920.2163,2994.131,3052.3042
10023.005859375,10479.262,11067.627,11561.02,12036.086,12138.513
2040.374267578125,2217.006,2276.5278,2371.568,2451.3528,2452.7737
10306.73046875,10581.176,10782.309,10968.801,11209.527,11279.015
10059.48828125,10247.333,10489.397,10735.945,10960.075,10953.192
10080.0869140625,10354.596,10626.587,10859.309,11067.437,11072.72
9855.5419921875,9997.536,10164.702,10361.601,10642.091,10375.366
11094.0263671875,11469.418,12016.362,12234.624,12565.125,12802.092
10207.9833984375,10557.437,10971.257,11304.655,11371.16,11569.481
12810.66796875,13101.252,13532.442,13908.522,14260.774,14456.92
9852.693359375,10060.847,10437.263,10793.906,11232.146,11109.463
9582.96484375,9749.976,10045.82,10334.712,10673.199,10814.829
10348.7666015625,10720.227,10792.894,10828.717,10988.913,11201.584
10351.857421875,10760.953,10768.829,10779.964,10902.239,11110.334
10276.0751953125,10419.03,10669.464,10898.865,11073.86,11445.053
9826.134765625,10083.594,10193.223,10325.693,10515.596,10413.724
10535.17578125,10948.39,11147.846,11352.627,11257.063,11512.008
9911.95703125,10192.371,10379.506,10816.827,11046.456,11260.941
10095.0341796875,9876.865,10111.454,10352.656,10840.71,11154.571
10437.3603515625,10426.741,10652.606,10930.136,11202.387,11648.569
10151.5595703125,10135.993,10322.068,10582.997,10965.702,11275.3
10234.76953125,10033.881,10249.087,10733.485,10939.64,11242.557
9880.240234375,10127.661,10449.1,10719.025,10990.862,11119.457
9902.2451171875,10197.539,10538.0205,10720.791,10765.354,10990.201
6064.41943359375,6409.393,6226.3687,6246.652,6408.2515,6534.956
5018.953125,4855.603,4771.8013,4772.849,4892.697,5011.8525
4384.181640625,4614.833,4674.699,4785.4746,4915.382,5124.6577
11978.32421875,12334.58,12606.929,12919.426,12788.517,13039.606
9538.33203125,9832.441,10173.809,10406.611,10408.233,10621.979
3851.904296875,3974.9014,3994.792,4069.106,4155.851,4112.8193
1632.09716796875,1603.4724,1862.1558,1710.0073,1885.9392,1858.4127
2726.894287109375,2854.3706,3073.4768,2939.0781,3157.805,2951.378
9949.7265625,10041.017,10240.337,10378.843,10651.045,10487.776
10587.2255859375,10614.053,10753.278,10903.406,11260.646,11326.995
1418.93408203125,1773.1268,1655.9109,1438.8163,1452.4613,1472.7075
6390.17138671875,6657.0986,6647.738,6961.4297,6884.328,7262.908
7649.68017578125,7795.285,7937.1865,8097.1187,8292.922,8404.733
1784.736083984375,2045.0938,2028.0554,1896.6554,1649.4187,1608.1224
7995.453125,8274.92,8418.633,8470.727,8536.411,8481.599
6758.46923828125,6760.25,6791.9634,6894.5645,7027.7085,7127.0034
6344.75146484375,6457.1313,6599.8027,6738.7007,6865.96,6934.627
7505.00341796875,7640.9614,7785.204,7991.994,7840.744,8190.1343
6629.93505859375,6778.2485,6847.2495,6749.6167,6865.2876,6829.7197
8990.7001953125,9085.0205,9196.218,9313.787,9560.316,9731.035
8284.8603515625,8386.661,8410.545,8541.586,8667.962,8789.141
8706.2841796875,8619.929,8736.614,8928.152,9239.241,9494.213
1492.2177734375,1437.8802,1491.8219,1542.276,1556.6204,1549.5239
9096.796875,9422.912,9652.821,9703.07,9582.63,9822.005
3557.63525390625,3567.948,3713.1653,3810.756,3879.7468,3886.2224
1920.7437744140625,2009.8107,1630.6471,1700.7996,1729.7141,2138.4988
2070.151123046875,2034.9177,2120.7588,2092.8257,2065.403,2229.7144
2256.967041015625,2342.8284,2225.2297,2296.12,2293.709,2229.6218
3257.10595703125,3132.8447,3175.16,3457.838,3443.934,3627.6377
1171.650146484375,1169.2324,1060.8589,1174.172,1253.3297,1239.7942
2695.58984375,3006.9624,3123.5537,2820.9192,3033.1943,2871.6833
2077.083251953125,2025.5042,1999.6993,2038.5479,2068.281,2104.6587
2590.759765625,2486.0896,2521.5908,2649.9468,2702.479,2921.2927
1183.1990966796875,1086.6519,1186.1061,1217.2355,1319.9005,1320.1356
1771.0960693359375,1822.6075,1804.5321,1818.6589,2052.8335,1909.8738
1831.052001953125,1851.1644,1929.7542,1877.0837,2012.5857,1935.9929
1932.1923828125,1875.537,1821.2408,1848.7883,1594.9773,1857.597
2054.80615234375,2225.999,2186.9849,2199.203,2231.139,2173.8962
1852.2213134765625,2083.1367,2000.7487,2106.1345,2152.9658,2176.6262
1599.0413818359375,1541.5667,1559.2621,1704.8138,1891.8313,1945.2413
2424.372802734375,2405.0735,2399.229,2405.3005,2430.8271,2806.8423
2015.6405029296875,1729.5789,1791.993,1812.0305,2006.4957,2403.603
3319.88818359375,3204.5662,3223.0547,3274.6982,3339.145,3394.6467
2095.04345703125,2048.4526,2060.12,2021.0059,2130.1978,2130.0347
2400.24951171875,2319.4055,2465.5276,2600.6353,2694.5862,2699.312
2488.883056640625,2431.9373,2460.659,2617.45,2691.2185,2813.412
7985.1787109375,8013.9897,8200.109,8283.842,8512.675,8423.646
4353.13525390625,4417.203,4589.3525,4730.029,4828.2285,4807.729
7048.89794921875,6929.3936,7040.7217,7266.372,7279.1816,7588.669
9450.7080078125,9383.387,9757.542,9967.715,10214.159,10236.966
3628.93505859375,3536.258,3457.1328,3537.7708,3711.869,3685.7417
6696.18408203125,6932.552,7032.6016,7164.5654,7252.9893,7143.656
8336.71875,8639.259,8785.726,8744.2705,8746.441,8931.152
7177.89453125,7182.006,7291.382,7507.5283,7789.833,7654.7334
4830.15869140625,4819.9077,5069.2935,5203.281,5272.172,5671.7637
10196.6611328125,10515.039,10855.059,11177.651,11513.231,11654.738
7695.0947265625,7932.4263,8145.642,8369.804,8654.78,8837.517
3230.15478515625,3432.877,3535.0657,3688.1523,3736.185,3622.5947
3347.858154296875,3454.7825,3529.2124,3676.6736,3710.8486,3826.517
11483.3115234375,11645.609,11959.882,12298.584,12410.54,12459.993
9584.767578125,9915.939,10244.279,10565.461,10854.742,10937.317
6055.79833984375,6302.561,6418.143,6639.603,6558.558,6825.7183
4295.1259765625,4512.9536,4615.13,4830.611,4992.4497,4783.7466
4631.6103515625,4427.804,4632.8115,4817.3516,4965.222,5014.166
4376.86767578125,4575.4424,4763.1353,4919.9844,4767.8364,5113.5654
5021.69482421875,4875.5483,5284.5312,5493.238,5706.8125,5708.3223
12199.083984375,12506.726,12964.362,13383.784,13882.368,14034.802
7230.87646484375,7325.9946,7491.9194,7669.6143,7838.7754,7901.8237
2213.39453125,2329.7166,2438.1965,2517.6584,2649.7664,2629.9177
6797.22412109375,6655.2075,6836.9546,7170.3076,7302.1655,7563.9185
2858.727294921875,3067.7935,3147.2993,3194.8838,3308.086,3376.0151
8250.283203125,8489.654,8667.049,8796.004,9143.815,9080.884
2107.835693359375,2091.573,2006.621,1993.7168,2124.3606,2397.4368
7426.54638671875,7346.3477,7693.1626,7946.523,8240.984,8314.787
8750.4658203125,8999.24,9282.15,9502.864,9800.607,9902.465
3183.7578125,3081.1545,3126.5767,3371.3167,3491.03,3553.7786
11944.8994140625,12189.601,12663.102,13149.634,13419.307,13644.511
3298.867919921875,3422.3076,3520.1958,3637.7766,3786.1238,3779.5525
3019.4306640625,3234.6057,3322.1394,3468.526,3493.1687,3383.2703
3346.589599609375,3454.041,3524.2546,3673.9766,3693.3376,3824.6099
4852.396484375,5088.902,5161.153,5369.283,5583.922,5661.227
3065.99755859375,3222.4521,3303.271,3394.9282,3470.3389,3465.7366
8952.673828125,9061.974,9209.126,9413.102,9581.704,9359.015
11193.109375,11475.243,11809.207,12174.554,12565.58,12625.659
2908.296875,3125.3171,3220.6855,3307.4102,3345.2546,3427.1812
7088.7216796875,7282.297,7429.5615,7246.7544,7681.3535,7610.9106
9385.1669921875,9426.79,9970.493,10237.541,10663.614,10685.341
13474.181640625,13880.899,14334.906,14806.064,15383.957,15587.079
13109.990234375,13444.121,13842.052,14011.4795,14586.388,14564.584
3205.47802734375,3262.5366,3520.4568,3568.1038,3715.7502,3668.1375
7945.4228515625,8112.0205,8403.961,8677.832,8954.905,9054.124
6151.392578125,6380.732,6603.7275,6794.381,6981.864,7051.2554
3180.44482421875,3394.7568,3476.9316,3612.6418,3614.588,3487.2056
2020.8201904296875,1934.7664,2026.9854,2111.5393,2207.6274,2199.7861
18152.287109375,18509.955,18947.713,19212.734,19533.988,20189.918
3355.265625,3422.953,3399.519,3425.9805,3432.5603,3734.5068
3797.637939453125,3924.917,3999.1885,3972.7354,3739.6873,3964.7253
1114.27099609375,1405.7723,1409.177,1233.5045,1197.02,1021.7402
4107.65283203125,4302.078,4385.54,4401.6167,4386.336,4539.8755
1540.7132568359375,1728.0535,1679.3293,1714.3663,1833.3794,1787.2683
2045.5501708984375,1728.7002,1770.7207,2071.817,2166.904,2282.6682
4018.20068359375,3888.5483,3852.8452,4229.2573,4080.3865,4517.79
8351.984375,8499.689,8746.572,8993.366,9267.028,9395.936
2403.355224609375,2323.5632,2361.7856,2369.249,2317.825,2551.5916
11397.7607421875,11603.743,11898.961,12209.195,12577.624,12701.57
2131.8896484375,2096.6384,2123.0974,2217.0266,2352.0286,2371.5383
1274.91552734375,1398.9911,1397.5848,1417.6711,1281.8402,1222.6423
2197.931396484375,2073.342,2090.6587,2128.5293,2310.6123,2094.3115
4720.36865234375,4718.678,4764.061,4871.897,5097.386,5155.563
2178.273681640625,2297.77,2319.192,2239.488,2248.8699,2291.3127
10050.615234375,10182.971,10371.679,10576.796,10920.417,11066.988
5487.86962890625,5448.3037,5409.0825,5401.225,5442.5103,5515.709
3944.241455078125,3862.5757,4079.2014,4372.1035,4455.013,4446.2773
4929.90087890625,4806.41,4852.097,4962.9214,5071.154,5139.3545
10225.23828125,10107.528,10333.438,10592.759,10880.9795,11052.234
8390.3203125,8231.443,8536.67,8798.132,9075.299,9269.717
11322.8740234375,11283.207,11704.229,12110.707,12483.455,12603.707
9624.5517578125,9503.095,9800.731,10112.64,10419.336,10565.44
3191.23046875,2934.903,3200.6367,3329.8408,3468.442,3582.7068
5239.39990234375,4953.17,5179.6606,5389.256,5600.437,5705.109
6701.81787109375,6528.124,6696.5044,6893.5986,7093.6616,7311.667
4148.11083984375,4147.3447,4238.012,4296.953,4400.236,4452.0605
4894.27978515625,4959.157,5071.786,5126.092,5198.066,5252.9854
7407.19287109375,7198.865,7395.49,7652.5,7914.634,8015.1196
5543.404296875,5566.7485,5757.3135,5975.471,6198.5723,6526.7744
10126.3525390625,10029.044,10263.282,10528.462,10826.652,11016.929
3458.854736328125,3310.344,3288.204,3362.7751,3454.835,3586.8916
4372.43603515625,4284.6763,4398.632,4538.786,4629.8267,4687.8145
3007.1845703125,3203.79,3208.5813,3324.5923,3395.0977,3414.2866
8433.7939453125,8274.996,8581.593,8844.344,9122.739,9318.072
6871.2080078125,6740.607,7035.2065,7306.772,7583.8467,7721.078
3021.0498046875,2796.4104,2972.8108,3087.5312,3219.384,3379.6182
4498.48486328125,4408.471,4519.013,4658.0903,4769.4443,4838.9995
4155.01123046875,4157.9663,4248.215,4306.843,4410.9424,4463.5186
5856.72119140625,5787.119,5826.4795,6144.6953,6264.2495,6463.3887
2772.158203125,2756.6875,2826.5508,2955.3032,3128.2183,3282.9438
7600.86279296875,7423.541,7659.7534,7901.6245,7796.8643,8300.349
4414.97509765625,4292.675,4327.858,4423.8306,4504.863,4557.811
2876.85546875,2647.746,2786.516,2908.1138,3030.8108,3046.9443
6214.98388671875,6261.793,6360.9243,6439.402,6555.7935,6657.064
1429.862548828125,1312.7361,1397.0211,1503.5742,1598.1553,1595.6383
7658.76318359375,7926.832,8194.123,8402.266,8670.154,8764.336
11931.8427734375,11921.347,12172.909,12525.734,12910.224,13248.781
1521.7906494140625,1392.0691,1442.1036,1614.6918,1738.3176,1759.8994
8637.9716796875,8500.354,8791.826,9244.57,9683.416,9896.192
6479.54736328125,6558.7827,6646.655,6708.04,6794.62,6883.609
9479.4296875,9312.496,9673.373,9943.223,10242.2295,10466.159
1173.628662109375,1047.263,1142.4423,1234.2775,1325.2488,1382.8298
9134.439453125,9002.608,9209.349,9446.809,9709.449,9920.075
4418.94091796875,4288.116,4237.004,4340.264,4470.0547,4642.761
4415.66357421875,4286.8833,4361.846,4333.249,4394.9917,4738.787
5245.166015625,5174.856,5275.2227,5460.338,5665.1997,5884.078
1165.11865234375,1029.2135,1124.0,1224.3639,1317.0916,1349.289
4416.544921875,4377.7925,4473.1,4574.7104,4680.328,4776.119
6429.724609375,6328.024,6451.686,6559.686,6677.1675,6778.933
9095.958984375,8976.764,9189.521,9442.454,9707.49,9864.849
7440.59521484375,7357.6587,7467.9688,7739.732,7982.4766,8248.43
6683.3681640625,6793.613,7034.93,7129.92,7339.024,7371.7573
7006.46630859375,6950.93,7231.998,7426.805,7703.754,7717.9497
3675.930908203125,3484.3757,3598.97,3773.8855,3932.125,3984.059
3475.26025390625,3204.5798,3473.441,3659.858,3846.2761,3944.1301
3729.7666015625,3923.391,3990.795,4049.0173,4133.341,4461.598
6627.5341796875,6763.6143,7125.331,7415.0986,7559.6943,7773.587
2772.733154296875,2728.1838,2774.6545,2795.2568,2923.4731,3163.902
4289.435546875,4333.3374,4275.2207,4212.0444,4195.873,4330.462
18385.94921875,18820.781,19414.76,19932.098,20423.916,20762.016
14575.177734375,14985.319,15459.008,15979.597,16372.03,16592.93
8857.5576171875,9180.42,9122.045,9465.819,9801.942,10156.837
8279.3583984375,8594.715,8903.289,9198.99,9465.801,9607.376
5803.16650390625,5989.7075,6073.5938,6215.1978,6415.14,6433.2505
15086.6806640625,15390.805,16066.994,16564.97,17067.494,17277.549
4116.87890625,4096.4326,4458.1797,4521.339,4765.323,4682.8438
2996.185302734375,3174.183,3306.1882,3424.6733,3513.7534,3578.4595
11656.13671875,12004.744,12393.559,12742.267,13053.857,13389.919
10621.1220703125,10954.283,11354.096,11728.675,12115.595,12121.769
10343.072265625,10468.268,10734.043,10885.953,10988.941,11045.302
9731.056640625,9585.984,9766.721,9862.088,10344.92,10567.572
10098.7333984375,10086.849,10206.507,10376.997,10746.263,10854.4
8814.4580078125,8772.644,8747.967,8883.303,9084.282,9178.254
4399.6064453125,4374.2134,4750.335,4864.993,4876.3354,4948.254
7245.88623046875,6971.4585,7131.357,7563.2944,7633.702,7947.2607
9624.109375,9846.64,10230.925,10526.59,10561.34,10949.282
3708.830322265625,3887.7524,3880.235,3926.5437,3884.1843,4211.7515
2070.00341796875,1883.4142,2031.4419,2058.8362,2182.97,2310.0044
7621.2685546875,7783.656,7810.7324,7877.0625,8026.6206,8068.2246
3284.765625,3397.9053,3375.31,3407.1377,3407.4814,3722.2363
4419.87646484375,4439.7363,4459.4023,4774.953,4563.1987,4603.725
1111.7620849609375,1403.8016,1411.1387,1230.7946,1196.4335,1020.1761
3222.338623046875,3204.8582,3321.5896,3395.9878,3474.1155,3537.028
2454.43798828125,2348.8323,2248.161,2196.28,2269.3157,2305.1953
12118.78125,12266.149,12794.965,13146.24,13325.718,13621.29
6980.47607421875,6870.85,6995.7163,7041.0903,7221.1396,7265.4062
2589.34375,2786.889,2757.0254,2909.0168,2989.622,2939.4663
2180.891357421875,2181.6514,2089.8313,2066.5989,2097.4922,2112.3164
10304.431640625,10283.503,10804.441,11005.492,11138.638,11492.68
4265.849609375,4234.5303,4394.549,4513.43,4680.53,4789.738
9542.404296875,9764.025,9999.48,10193.294,10468.017,10468.92
12800.69140625,13062.387,13431.298,13790.248,14151.368,14527.268
6703.35498046875,6773.3496,7159.9307,7277.1553,7481.0576,7549.6177
1742.7994384765625,1913.3508,1976.8394,1888.523,2067.0178,2066.462
2319.257080078125,2403.1658,2457.197,2510.414,2715.2217,2678.7014
8119.07470703125,8071.701,8140.9316,8379.322,8563.89,8869.897
5198.68310546875,5195.3486,5377.525,5520.5186,5673.7065,5875.2876
3412.35498046875,3591.4956,3556.7468,3563.8296,3567.7214,3589.1812
2007.7406005859375,2074.0488,2159.353,2308.6926,2307.2754,2297.9746
955.4445190429688,819.9323,863.24695,1030.3282,1027.9602,1061.6094
2764.930908203125,2948.1792,2887.672,2980.968,2826.9795,2985.531
2154.237548828125,2344.0,2447.0303,2514.5283,2595.379,2612.6719
6327.48095703125,6357.6294,6628.552,6759.995,6937.848,6947.9253
4422.5234375,4543.422,4732.4644,4959.7236,5104.5405,5118.269
8226.97265625,8264.092,8454.49,8585.508,9098.24,9219.418
7924.81982421875,8111.6865,8315.968,8480.7295,8721.364,8800.774
3707.588623046875,3889.846,3882.7385,3927.9324,3884.5488,4212.509
10631.48046875,10720.331,11003.5625,11540.389,11772.512,11947.566
3863.50634765625,4083.2512,4249.9023,4407.6816,4574.074,4615.74
3227.3984375,3407.984,3319.628,3318.0793,3262.2935,3641.0337
7512.921875,7377.9277,7595.63,7641.126,7757.862,7894.26
3933.498046875,3989.4849,4193.034,4286.5454,4321.816,4402.4956
1246.7945556640625,1247.7773,1214.1787,1249.1621,1337.3822,1145.2114
10301.2666015625,10287.306,10837.88,11007.133,11149.703,11491.199
8373.1728515625,8148.213,8365.982,8856.569,9131.252,9289.695
6640.41845703125,6601.131,6863.5205,7112.1123,7318.254,7396.2007
8770.4833984375,8525.726,8752.394,9280.323,9674.588,9717.733
8266.7041015625,8202.285,8368.925,8530.123,8892.507,9197.31
1211.89794921875,1123.1537,1129.836,1436.5461,1116.3875,1295.0953
4514.32568359375,4576.9707,4963.4346,4710.4346,4861.0386,5018.97
1613.6822509765625,1627.2843,1747.8214,1823.3514,1858.616,1908.1144
7229.544921875,7277.0977,7426.895,7555.4736,7674.5664,7775.5986
3309.718017578125,3289.9304,3587.1594,3661.1064,3720.069,3726.7441
2392.0185546875,2343.443,2324.5176,2430.1863,2410.3147,2846.6746
3526.7431640625,3515.9568,3651.283,3768.5342,3863.0786,4026.397
3832.5703125,3942.1555,4019.2292,4070.0718,4192.21,4269.827
4816.1962890625,5004.8716,4976.2007,4912.382,4957.3633,5074.3413
1508.89306640625,1578.5255,1437.5875,1515.537,1266.2441,1566.6935
