V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2028.50390625,2028.6404,2027.7238,2028.38,2029.2072,2027.8722,2028.9143,2030.8496,2027.7003,2030.5625,2031.0773,2032.033,2030.1816,2030.188
2974.58349609375,2972.1948,2976.097,2969.8188,2977.0083,2976.151,2974.898,2979.3362,2972.902,2979.156,2976.343,2980.1335,2974.539,2983.1523
1119.6673583984375,1122.6381,1128.2003,1124.1659,1127.3776,1127.7131,1129.302,1134.7872,1124.6033,1136.393,1130.2606,1134.4894,1141.0348,1136.7097
1210.041259765625,1217.7427,1236.1635,1217.4998,1235.7463,1208.4554,1231.7632,1220.7372,1220.2506,1243.9241,1230.1787,1235.7452,1286.5812,1265.6388
5864.99658203125,5866.2656,5857.0337,5864.944,5866.327,5869.751,5865.9453,5863.8965,5864.971,5877.072,5873.003,5871.444,5867.6597,5869.194
3116.350830078125,3114.4075,3086.921,3108.3794,3113.8242,3124.6562,3122.085,3105.8157,3097.4138,3123.1296,3105.6714,3113.6584,3106.4421,3107.9058
5208.140625,5237.212,5404.814,5240.0234,5283.419,5275.1016,5499.2593,5207.244,5282.83,5158.861,5249.0645,5375.9526,5278.807,5257.4033
1731.131103515625,1732.4845,1731.6549,1731.3601,1732.441,1732.4628,1734.0161,1732.1582,1733.0267,1734.8458,1735.259,1734.5763,1735.9576,1735.3401
1584.0009765625,1585.2441,1584.5541,1584.2048,1585.1625,1585.1741,1586.5891,1584.977,1585.6553,1587.2399,1587.6659,1587.0394,1588.3757,1587.7676
2626.0322265625,2623.397,2626.0435,2626.3928,2625.042,2630.7698,2627.1555,2629.1213,2633.507,2635.0352,2637.4136,2634.3682,2635.6504,2635.9756
2445.05615234375,2443.154,2446.924,2444.0913,2448.7744,2449.2034,2448.6082,2442.4546,2444.001,2444.32,2443.3352,2445.2478,2447.2754,2443.7434
3655.556640625,3653.9985,3655.7874,3655.691,3655.2605,3659.4702,3660.1025,3661.9934,3656.1753,3661.7175,3662.953,3665.0122,3663.3774,3663.907
7213.28271484375,7221.392,7224.3047,7239.024,7223.107,7234.0566,7222.661,7239.1577,7204.107,7247.0386,7251.235,7250.3057,7236.816,7243.499
5676.78955078125,5679.1523,5679.8364,5682.384,5688.955,5687.442,5691.894,5674.284,5673.4834,5691.985,5685.7764,5685.422,5681.43,5688.445
7793.27392578125,7762.81,7705.5073,7805.702,7801.2676,7802.059,7891.7197,7804.1074,7821.6655,7859.919,7769.517,7817.718,7742.273,7873.165
3079.25,3080.0503,3079.534,3084.6416,3088.4678,3085.0444,3082.7146,3079.2,3074.5264,3078.4001,3077.7598,3079.9976,3081.288,3082.268
4032.235107421875,4034.9268,4026.506,4036.1785,4026.3506,4039.5334,4038.1777,4036.8262,4031.4373,4038.7925,4041.7646,4037.3293,4032.831,4039.3965
9548.947265625,9551.616,9553.821,9556.279,9560.401,9548.576,9567.366,9545.497,9561.058,9552.004,9544.124,9547.899,9564.323,9567.922
2680.17626953125,2688.719,2676.0686,2678.5413,2685.042,2685.7417,2681.4888,2691.6604,2679.4937,2696.841,2690.7417,2695.6433,2686.1462,2695.0337
10858.8623046875,10872.184,10875.786,10853.304,10870.489,10872.578,10887.845,10871.031,10865.069,10870.371,10872.303,10868.231,10871.308,10880.581
2668.758544921875,2677.2715,2664.8872,2667.208,2673.8364,2674.373,2670.1853,2680.4666,2668.002,2685.8232,2679.4678,2684.7053,2675.2495,2683.723
2858.37744140625,2863.9463,2863.3552,2859.1772,2867.4302,2867.0479,2867.9966,2862.3706,2870.6729,2871.616,2878.0737,2875.079,2881.2437,2882.607
1929.836669921875,1929.7769,1931.8096,1927.2136,1929.519,1932.3308,1930.1646,1926.5736,1928.9117,1931.7115,1935.8544,1934.0867,1935.0046,1938.6519
2549.874267578125,2554.5781,2554.5327,2550.5994,2558.2659,2557.583,2558.5208,2553.2454,2560.348,2561.679,2567.3403,2564.5447,2570.979,2571.9248
1598.034912109375,1597.6663,1599.3751,1596.4414,1597.6831,1599.8754,1597.5731,1595.5146,1597.0869,1600.4769,1603.3577,1601.7747,1602.8937,1604.976
2371.2421875,2375.1729,2375.2322,2372.73,2379.1226,2378.2341,2378.9307,2375.3794,2381.1892,2382.9922,2388.299,2385.1504,2390.747,2391.1458
1721.3179931640625,1720.9819,1723.0027,1718.7684,1721.0647,1723.4874,1721.6533,1718.0951,1720.1517,1723.0822,1726.514,1724.7062,1726.4028,1729.5962
