V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
650.9554443359375,559.71423,517.27563,487.4496,502.7678,470.59082,468.2712,465.4812,520.7588,566.5362,612.7631,625.01105,696.37573,731.17896,774.30457,813.5445,831.6851,809.6471,844.9159,807.96826,797.048,790.5456,730.90936,692.6302,629.7606,593.4572,543.74066,496.20438,508.80612,440.2572,482.15222,494.308,518.6184,546.8238,612.86127,642.34784,685.7258,736.31573,776.23224,789.46124,845.0703,858.1098,834.2565,831.3657,788.88885,759.3636,742.84344,698.33136
3001.076171875,2633.5793,2380.5225,2334.5688,2253.8574,2148.1167,2069.182,2032.8586,2306.845,2364.9697,2622.0884,2676.2947,2969.5945,3078.5146,3294.877,3546.727,3598.227,3544.645,3671.271,3582.4443,3524.581,3529.427,3342.822,3116.2983,2946.2256,2780.502,2532.7441,2308.3557,2271.9675,2041.539,2144.4866,2139.9182,2329.6614,2361.485,2633.5679,2686.581,2895.4338,3131.1387,3209.067,3378.7317,3638.7795,3662.0657,3693.0422,3641.8823,3583.0105,3441.1697,3388.0583,3110.0815
1236.8623046875,1135.0156,1080.9574,1047.914,1038.0294,1000.52277,884.5016,912.9463,910.4943,971.8063,984.20496,976.36414,1077.2156,1123.7477,1170.4132,1230.296,1214.083,1242.737,1318.8385,1324.8079,1301.6641,1304.6135,1265.3433,1234.4302,1243.1837,1169.1827,1105.8467,993.7454,1035.4436,951.21216,905.58417,904.3118,928.9312,915.405,1016.7224,1019.26013,1072.6377,1117.2482,1135.002,1212.697,1311.8011,1285.4008,1312.445,1273.333,1325.06,1307.0206,1253.9657,1241.965
5573.9169921875,5008.798,4727.3394,4613.419,4410.0303,4064.247,3890.6672,3779.766,3883.02,3777.6436,3947.9324,4005.6445,4229.377,4347.263,4715.8564,4922.8135,5290.5293,5289.3525,5555.912,5633.6787,5656.4478,5804.182,5649.112,5500.039,5468.6606,5192.5586,4851.207,4558.229,4447.512,4044.427,3978.6665,3747.4717,3971.1992,3791.7874,3978.8184,3951.1863,4175.912,4356.647,4487.7603,4845.057,5308.193,5334.64,5536.783,5734.4067,5780.0146,5586.887,5782.613,5613.4536
3305.904541015625,2787.903,2544.938,2313.1194,2360.4297,1969.9987,1756.5347,1699.0427,1616.6628,1853.2397,1750.7034,1797.0718,2034.3844,2229.4456,2379.734,2534.4143,2738.8562,2968.6528,3252.0405,3353.0078,3176.9846,3343.1157,3207.1912,3232.5566,3244.5,2790.6033,2666.9224,2172.4336,2334.4756,1987.7004,1749.3491,1733.029,1766.5367,1645.7542,1942.0244,1895.9042,2043.8938,2095.978,2307.5671,2594.176,3043.1592,2945.8967,3112.9187,3252.1997,3433.0505,3215.3594,3329.6702,3244.0293
5287.62939453125,5310.595,5367.8433,5507.0083,5931.1455,6066.6216,6297.09,6571.456,6676.9043,7008.0283,7056.1855,6953.8784,7074.083,6974.2466,7033.842,6664.112,6504.169,6514.741,6247.7017,5950.0957,5785.624,5657.214,5457.046,5366.779,5409.8916,5408.1953,5530.5464,5399.9062,5969.8877,5892.7915,6163.663,6586.7925,6497.3945,6662.9756,6981.941,7027.541,7018.466,6961.8794,6839.378,6701.3086,6660.7925,6543.078,6178.2056,5932.729,5730.9233,5559.247,5434.419,5438.5195
46090.8359375,41002.543,39384.277,36961.19,36903.812,33941.742,30736.305,30403.736,29628.785,31387.074,30556.266,30503.162,32672.25,34417.51,36170.37,37824.97,39635.246,41798.117,43770.543,45238.168,43947.215,46164.8,44693.094,44744.08,44441.895,41528.055,39537.0,35536.207,37239.684,33059.973,31020.736,30812.285,30642.71,29814.666,31677.918,31442.53,32849.867,33722.7,35606.39,37791.223,42101.207,41872.492,43060.68,44209.63,45912.676,44656.72,45937.992,45012.004
28540.83203125,26263.58,23275.979,23915.438,24084.703,22854.266,22874.629,23262.936,25085.682,27185.547,28972.117,29173.873,32243.346,33781.188,35238.703,36739.723,36907.1,36430.492,37562.156,36420.24,35381.016,34515.867,31975.822,30902.463,29481.572,27223.324,25736.973,23085.363,24109.158,22360.535,23338.918,23567.615,24979.584,25443.82,29026.66,29983.766,31833.36,33515.29,34005.082,35412.445,37369.016,37486.445,37495.145,36362.875,35213.65,33648.41,31465.469,30176.807
36691.79296875,33986.496,31113.033,31206.496,30437.334,29185.578,28378.676,28280.906,30425.982,30713.654,33005.812,33389.195,36021.684,36977.637,39012.207,41101.383,41784.4,41428.348,42654.27,42063.58,41510.85,41505.816,39363.176,37551.227,36762.65,35183.438,32944.844,30500.764,30666.86,28469.31,29438.566,28700.654,30592.008,30433.033,33073.67,33617.926,35396.13,37337.875,37959.92,39540.887,42450.0,42612.35,42633.195,42188.31,42034.08,40314.65,39897.08,37683.03
439.8251037597656,427.53455,408.98743,404.19653,407.07587,402.56503,379.95367,382.89542,388.02283,395.71722,398.0214,393.14655,416.09705,427.7535,422.67316,438.128,429.62994,438.00885,460.26593,449.57327,447.12918,444.943,437.69528,438.86423,437.8473,428.21912,417.21606,400.68802,404.82678,394.11386,390.3122,387.4624,394.47415,388.54224,402.07745,406.9034,410.79706,421.01312,424.5122,425.56766,445.93753,447.98944,442.6161,444.68372,450.75632,446.19592,439.9645,441.66193
26123.794921875,24978.0,23495.984,24654.629,26345.566,25042.967,27381.768,27642.879,29625.275,31165.771,32821.176,32883.76,34928.598,35694.934,36984.527,36476.367,36011.92,36270.066,36179.312,34129.316,32462.074,32009.379,30389.52,27849.982,28175.562,26054.652,25706.008,22831.695,26123.148,24381.004,25871.375,28147.713,27955.71,28846.219,33063.43,33928.21,34157.242,35475.42,35747.95,35853.746,36920.03,36781.473,36068.85,33465.594,33142.22,31280.947,29627.68,28471.3
7934.55029296875,7155.14,6267.1523,6431.9136,6538.5728,6148.0293,6173.5537,6202.7666,6798.8794,7457.395,7989.8604,8044.541,9007.458,9444.118,9879.441,10299.1045,10360.86,10293.26,10689.9375,10304.331,9920.186,9735.99,8994.146,8607.294,8171.926,7416.671,7025.4385,6156.783,6512.73,5939.424,6252.924,6408.807,6797.384,6854.333,8068.8794,8314.815,8851.556,9363.199,9525.397,9960.936,10583.016,10560.775,10613.31,10199.851,9964.563,9381.726,8858.803,8399.967
525.8839111328125,516.3042,483.0292,504.0618,512.352,468.58813,497.67093,504.14667,477.23596,593.4827,570.5129,560.8503,605.00104,656.9018,624.1615,669.2125,749.15155,699.2457,681.4559,687.514,636.6207,631.3807,594.84796,611.22626,572.37317,517.05225,528.096,465.7794,477.33914,499.92877,461.23917,444.9657,464.2177,526.2891,525.02234,572.9202,652.40356,627.1646,629.2993,659.1232,658.6925,637.9073,716.229,697.7468,627.6634,655.5419,527.97644,566.5358
180.31521606445312,163.90079,154.20052,148.58545,153.74811,142.9455,133.54155,135.05722,133.27153,146.14334,143.85587,142.98616,155.26268,163.67357,166.73497,172.56662,175.6328,178.14676,190.52061,189.07788,186.0225,186.92607,181.01126,179.72214,177.23297,166.40382,161.52603,145.10484,150.97871,138.72028,135.11913,135.53616,136.8756,134.8766,149.42076,150.57553,154.90929,157.17085,165.152,173.10164,185.25995,182.93475,184.8806,184.83792,189.25537,184.78366,181.31479,179.46796
13389.19140625,12321.499,10942.864,11325.154,11313.71,10820.609,10777.314,11045.325,11954.921,12732.324,13718.813,13734.174,15182.705,15841.12,16627.053,17332.125,17243.836,17010.738,17499.578,16947.443,16543.795,16109.174,14931.858,14388.361,13814.599,12859.573,12066.414,10920.334,11380.932,10575.844,11086.662,11183.462,11880.658,12078.203,13713.207,14154.407,14936.754,15787.09,15947.651,16599.646,17450.604,17598.096,17470.14,16987.426,16393.148,15785.254,14729.999,14135.407
1340.7139892578125,1223.6821,1118.2563,1100.5565,1064.037,987.1636,950.1469,951.1653,1040.5172,1011.5415,1100.1476,1121.3004,1222.6626,1253.7244,1348.9485,1442.0059,1484.6418,1485.4702,1517.8379,1508.9592,1509.1254,1513.2388,1443.1682,1337.0829,1343.6373,1278.5044,1178.1504,1060.8785,1068.2865,952.44885,986.1023,946.99365,1017.6668,1016.0923,1107.2654,1109.6941,1169.986,1275.3104,1292.4463,1376.3613,1509.2551,1518.2461,1534.6257,1522.9861,1535.2151,1481.928,1478.2264,1377.6372
53549.0703125,49432.938,45926.54,44710.805,43780.766,40837.6,39886.12,39545.207,41786.54,43629.56,46350.9,47976.02,51682.473,54376.06,56842.668,60991.125,62112.73,61511.97,64025.125,62885.863,62295.094,61781.94,59302.074,56285.797,54374.195,50736.625,47740.184,43959.516,43212.383,40562.26,40692.055,40361.46,41634.668,42799.883,46257.75,47752.12,51723.945,55067.684,55815.633,59095.94,63021.88,63446.383,63702.242,63404.05,63177.797,60645.04,58769.312,55852.152
28117.11328125,25326.941,23452.574,23370.906,23939.672,23614.541,23523.14,23318.102,25527.0,28320.953,29994.88,29954.46,33155.703,34500.84,35598.492,36648.008,36237.07,35242.58,37128.566,35295.516,34229.766,33660.543,31552.705,30031.285,28306.77,26491.445,24632.32,23362.56,23978.57,22145.28,23613.793,24424.857,25844.012,26497.316,30435.922,30853.465,32722.875,34624.742,35337.547,35788.81,37750.03,37361.43,36733.1,35348.824,34451.996,32368.453,31217.35,29939.29
2066.157958984375,1925.6029,1763.8118,1784.7673,1808.206,1784.463,1789.5078,1844.5121,1952.3162,2202.097,2295.028,2312.5913,2550.5112,2662.5635,2728.396,2799.6975,2743.2634,2671.601,2792.757,2635.357,2584.155,2500.5708,2339.7395,2252.317,2104.7632,2015.9718,1873.0712,1792.0276,1795.7925,1729.1904,1819.4886,1851.2075,1984.0737,2064.557,2277.9575,2353.972,2518.0195,2673.6028,2686.4604,2716.2256,2852.4272,2834.9917,2752.9976,2685.8982,2577.9685,2459.5527,2262.5684,2222.6018
