V1,V2,V3,V4,V5,V6,V7,V8
6903.455078125,6829.95,6881.5635,6823.8677,6895.998,6832.038,6866.176,6820.279
7113.9345703125,7088.533,7135.2188,7063.2583,7108.7715,7101.198,7125.242,7053.55
7247.1162109375,7214.3457,7241.0347,7172.3755,7227.645,7213.8384,7236.092,7174.307
7717.99072265625,7706.1787,7734.6113,7665.542,7706.4497,7721.216,7724.7124,7669.527
975.5465087890625,898.9143,1167.5278,1378.1199,1000.2743,923.4798,1200.6216,1362.1277
9810.7216796875,9789.564,9858.851,9897.176,9967.027,9927.63,9986.939,10018.804
3338.126708984375,3329.8054,3327.875,3337.1108,3349.8093,3341.5483,3338.5874,3354.6733
2598.570068359375,2579.5684,2603.2627,2626.1692,2636.8408,2609.306,2636.7144,2655.9902
2490.392333984375,2480.7585,2486.3665,2500.337,2510.446,2495.663,2505.7869,2517.903
2537.44775390625,2527.2605,2547.749,2545.4763,2537.1008,2526.9028,2549.4453,2543.7617
1157.9957275390625,1154.6768,1154.2394,1153.0983,1157.8278,1154.2393,1153.1549,1152.6989
3240.037353515625,3028.1812,3260.4453,3411.779,3266.3743,3057.953,3296.0386,3424.8533
1751.531494140625,1754.7255,1771.971,1773.4791,1794.4211,1793.0371,1799.6971,1804.1763
12508.0283203125,12425.811,12462.79,12504.14,12766.241,12655.602,12665.15,12719.056
1217.9041748046875,1210.0482,1310.2109,1329.0457,1235.2054,1209.7838,1316.3169,1330.9324
2021.9957275390625,2013.5878,2066.6692,2068.3242,2078.0269,2042.4292,2116.0168,2117.7305
2423.28125,2449.3704,2434.4202,2465.9106,2473.6936,2501.0034,2477.058,2511.938
4688.8173828125,4516.327,4894.126,4814.3984,4720.622,4550.4004,4903.0215,4792.682
5707.77294921875,5697.1816,5777.997,5787.992,5852.194,5845.2944,5897.229,5898.795
6279.4560546875,6274.5435,6292.4097,6353.085,6381.114,6372.685,6393.305,6464.0977
9694.8203125,9676.759,9736.987,9823.268,9855.075,9827.605,9903.391,9976.706
5075.1953125,5113.485,5134.49,5228.196,5165.5386,5151.679,5223.1646,5318.1475
5974.791015625,5916.468,6016.29,6089.391,6036.9917,5953.6113,6082.9106,6133.6475
2332.68017578125,2323.0947,2346.9146,2331.5615,2331.8835,2324.1846,2350.0662,2332.685
1370.55908203125,1369.6788,1386.3937,1374.0214,1368.9021,1371.3197,1387.0472,1374.849
7434.65625,6950.736,7321.944,8861.954,7390.424,6976.429,7365.367,8817.32
9218.0546875,9148.049,9227.411,9184.989,9203.517,9134.8545,9238.42,9195.03
5057.28955078125,5073.6675,4996.2876,4940.751,5084.5703,5097.9653,5001.7827,4990.1514
1905.873291015625,1883.6187,1879.5215,1867.736,1906.7974,1882.0756,1874.7185,1876.2142
3104.47412109375,3119.3096,3072.788,3084.299,3108.57,3120.9297,3075.655,3088.6106
2486.24267578125,2505.8582,2491.4102,2488.444,2483.1592,2509.9724,2501.406,2490.8586
4772.3095703125,4682.801,4705.164,4679.2715,4806.8965,4705.3174,4714.767,4722.8154
8238.8876953125,8289.337,8292.017,8244.662,8286.088,8357.505,8327.543,8297.596
7158.85791015625,7230.809,7225.494,7186.069,7174.2847,7249.9707,7258.7964,7198.9346
10088.486328125,10228.568,10179.238,10024.39,10103.859,10219.384,10164.518,10024.039
9148.029296875,9074.204,9108.571,9084.436,9196.625,9138.991,9148.5,9177.661
4466.08349609375,4429.805,4418.426,4449.7725,4471.7715,4453.6616,4458.8247,4471.6304
6361.92724609375,6323.2515,6328.051,6374.2217,6380.3945,6346.355,6357.4443,6420.7305
5423.6572265625,5581.253,6126.9023,6015.731,5490.8003,5659.545,6180.093,5999.5137
5217.52001953125,5251.0547,5243.6357,5236.005,5260.246,5294.266,5275.521,5278.1416
1903.2716064453125,1895.9233,1903.7843,1901.118,1910.82,1905.6976,1909.3723,1909.1466
2108.682373046875,2094.6492,2104.4233,2101.44,2121.0476,2104.1697,2110.3296,2113.928
5409.462890625,5457.954,5425.9824,5437.9214,5453.73,5507.1167,5463.95,5485.3345
1273.421142578125,1276.8112,1268.598,1267.5847,1278.502,1285.3439,1273.4038,1274.0687
1918.8115234375,1908.9503,1917.7719,1913.2021,1924.9406,1915.5409,1922.1497,1919.5109
3363.630859375,3384.8809,3400.2935,3370.083,3377.2957,3385.0654,3409.1094,3384.5662
9579.439453125,9672.337,9632.691,9665.505,9614.001,9716.099,9666.016,9711.447
1397.3243408203125,1376.0426,1400.058,1414.2192,1411.0642,1383.65,1412.687,1421.6046
8883.0849609375,9001.984,9012.491,8908.061,8912.469,9077.941,9089.323,8968.66
9220.6123046875,9368.863,9321.786,9284.652,9228.42,9418.871,9395.453,9316.174
1479.8642578125,1496.147,1498.1156,1433.3275,1486.5154,1500.166,1502.9907,1435.841
5780.029296875,5779.336,5789.48,5761.0435,5772.127,5786.756,5790.119,5770.6226
2607.9619140625,2596.4258,2623.1873,2588.3647,2621.37,2601.3442,2624.8696,2592.738
1649.9149169921875,1646.738,1653.1296,1653.9414,1659.7161,1652.7162,1658.8698,1661.787
6878.31201171875,6905.045,6863.002,6896.281,6911.2324,6941.606,6892.791,6925.929
2950.57373046875,2943.4543,2987.5605,2931.3442,2965.2664,2949.5957,2992.758,2940.3167
