V1,V2,V3,V4,V5,V6
7284.53271484375,7306.5503,7312.6255,7334.511,7338.843,7341.0356
1645.322021484375,1660.04,1671.6108,1702.1603,1752.8213,1794.8417
8521.021484375,8771.992,8972.934,9192.879,9450.562,9672.91
9841.3759765625,10120.072,10343.862,10612.302,10925.501,11155.129
7095.6396484375,7431.0293,7698.5605,8003.197,8334.39,8672.788
4075.28955078125,4235.85,4393.1294,4601.34,4796.0464,5017.1943
3619.40185546875,3718.7366,3827.001,3984.6416,4127.263,4283.8286
2395.84765625,2395.3057,2398.972,2399.0505,2400.8708,2401.0264
2305.518310546875,2333.436,2359.6404,2392.0654,2423.6633,2459.79
2287.042236328125,2299.9744,2314.4512,2333.1948,2351.7893,2370.789
1484.48291015625,1497.8132,1512.6339,1530.5181,1546.9882,1565.2494
2011.984130859375,2067.644,2117.695,2178.385,2239.0613,2301.5405
4673.20361328125,4787.414,4908.6787,5013.0605,5109.7646,5225.01
5083.0390625,5168.409,5254.4473,5334.448,5406.4175,5471.972
5407.90185546875,5532.796,5669.5293,5804.1196,5927.393,6036.859
2582.011474609375,2629.4932,2665.2952,2702.2986,2723.5093,2775.0173
3832.821533203125,3910.5007,3973.9324,4029.782,4093.5122,4155.7573
3180.70068359375,3228.1382,3265.671,3300.4504,3326.1768,3372.3552
3047.6025390625,3216.6733,3433.128,3746.4902,3961.2363,4266.8984
6521.62548828125,6616.192,6743.7896,6930.617,7077.2124,7237.726
9461.294921875,9718.144,10077.584,10583.957,11003.023,11405.887
4249.47607421875,4329.7285,4458.3643,4664.165,4826.317,4994.3096
9478.1416015625,9530.705,9611.568,9764.8125,9929.983,10081.66
8482.93359375,8536.058,8654.867,8879.744,9076.604,9197.542
2344.673095703125,2386.0823,2459.961,2563.942,2638.6077,2716.2556
7162.091796875,7273.5635,7475.588,7820.743,8079.661,8352.709
1731.2423095703125,1757.9163,1802.0193,1877.6482,1938.1282,2001.8335
1691.49072265625,1713.0232,1746.019,1811.8844,1862.1655,1920.2112
4145.2509765625,4182.8896,4225.2627,4291.386,4350.2734,4415.999
4529.86181640625,4647.8716,4756.22,4883.316,5010.161,5135.628
3696.298095703125,3699.4731,3722.6616,3726.6472,3738.269,3751.9429
5412.564453125,5487.0073,5559.703,5655.3623,5744.1343,5851.251
1273.7330322265625,1293.1993,1311.8192,1333.512,1353.8853,1373.4283
1690.8603515625,1712.744,1735.0612,1760.102,1784.3875,1811.487
3399.03125,3466.9707,3533.6187,3616.9932,3699.761,3788.2288
1157.243896484375,1168.8143,1180.5879,1195.8069,1209.9753,1226.83
3971.857421875,4043.9126,4121.3887,4220.7275,4312.925,4415.7
2486.24267578125,2572.789,2808.8892,2931.5508,3057.6084,2788.1465
3791.1923828125,3865.2405,3920.9827,4000.6553,4046.5884,4073.8196
4713.18408203125,4835.1636,4948.3037,5056.8613,5163.3,5249.8677
14615.1650390625,14862.215,15060.918,15243.625,15427.73,15600.352
5803.2626953125,6142.5723,6452.5776,6822.249,7193.39,7545.3745
2901.40380859375,3049.0159,3184.8862,3328.0396,3484.9658,3618.7617
10138.44140625,10472.861,10779.866,11089.579,11406.183,11684.271
10104.404296875,10384.149,10647.363,10908.398,11177.638,11409.548
6344.7431640625,6713.9116,7063.8623,7466.739,7864.421,8259.565
6353.6923828125,6723.6235,7073.999,7477.719,7876.2188,8271.9375
6910.98974609375,6940.407,6948.784,6945.1533,7006.8506,7028.711
2509.844970703125,2534.257,2555.2153,2574.5654,2596.37,2617.103
18568.5703125,18779.893,18966.305,19134.793,19311.959,19485.66
8174.73046875,8247.129,8308.412,8362.465,8419.34,8476.861
17813.1796875,19016.617,20008.77,21286.277,22658.826,23991.04
19551.275390625,21146.07,22820.367,25228.754,27418.531,29827.84
8820.76171875,9536.633,10258.159,11126.803,12026.352,12737.929
2734.818359375,2958.1628,3170.0784,3434.9214,3706.538,3944.004
12106.4013671875,13253.199,14308.638,15679.394,17025.691,18373.94
2120.75341796875,2248.9258,2354.6418,2495.0444,2642.7754,2787.8496
10023.0244140625,10284.954,10561.441,10759.264,10992.18,11285.615
10028.724609375,10142.714,10244.261,10374.67,10511.529,10629.627
10066.9609375,10311.219,10555.33,10795.477,11049.687,11263.555
9908.8291015625,10000.886,10038.119,10164.948,10219.092,10425.809
10127.2705078125,10345.648,10866.617,11319.703,11572.889,11455.861
10083.560546875,10579.482,10979.169,11401.559,11944.093,12349.984
13396.6328125,13772.089,14189.977,14664.521,15187.625,15590.137
10461.3984375,10802.744,11239.301,11818.494,12380.801,12707.721
10211.2138671875,10495.092,10855.738,11313.392,11710.753,12094.107
10027.587890625,10116.494,10185.7,10264.838,10312.756,10359.077
10075.904296875,10129.006,10133.244,10171.38,10182.669,10214.07
10106.6416015625,10376.309,10610.022,10818.943,11046.558,11240.989
10059.5107421875,10109.675,10119.692,10159.677,10169.365,10273.38
10045.998046875,10112.706,10228.337,10405.154,10405.273,10450.332
